k,patterns,algorithm,mode,status,wall_ms,detail
40,506,hash,all,ok,1493,
40,506,aho_corasick,all,ok,1341,
40,506,bndmq,all,timed_out,4338,one matcher-build plus corpus-search iteration took 4196.021 ms
40,711,hash,all,ok,2240,
40,711,aho_corasick,all,ok,1388,
40,711,bndmq,all,timed_out,5157,one matcher-build plus corpus-search iteration took 5018.708 ms
44,23,hash,all,ok,2706,
44,23,bndmq,all,ok,744,
44,23,aho_corasick,all,ok,854,
48,23,hash,all,ok,2584,
48,23,aho_corasick,all,ok,881,
48,23,bndmq,all,ok,744,
48,27,bndmq,all,ok,785,
48,27,aho_corasick,all,ok,842,
48,27,hash,all,ok,4279,
48,506,hash,all,ok,1693,
48,506,bndmq,all,timed_out,3639,one matcher-build plus corpus-search iteration took 3487.425 ms
48,506,aho_corasick,all,ok,1336,
48,711,aho_corasick,all,ok,1481,
48,711,bndmq,all,timed_out,4518,one matcher-build plus corpus-search iteration took 4416.725 ms
48,711,hash,all,ok,2168,
5,1,bndmq,all,ok,411,
5,1,aho_corasick,all,ok,432,
5,1,hash,all,ok,992,
52,32,aho_corasick,all,ok,820,
52,32,bndmq,all,ok,876,
52,32,hash,all,ok,1466,
56,32,bndmq,all,ok,885,
56,32,hash,all,ok,1448,
56,32,aho_corasick,all,ok,895,
6,3,bndmq,all,ok,816,
6,3,aho_corasick,all,ok,1569,
6,3,hash,all,ok,1114,
64,360,bndmq,all,ok,8134,
64,360,hash,all,ok,2449,
64,360,aho_corasick,all,ok,1217,
64,38,hash,all,ok,1576,
64,38,bndmq,all,ok,1041,
64,38,aho_corasick,all,ok,1012,
64,45,aho_corasick,all,ok,921,
64,45,bndmq,all,ok,1012,
64,45,hash,all,ok,1970,
64,506,bndmq,all,timed_out,2908,one matcher-build plus corpus-search iteration took 2743.632 ms
64,506,hash,all,ok,1369,
64,506,aho_corasick,all,ok,1420,
65,1,aho_corasick,all,ok,700,
65,1,bndmq,all,invalid,0,BNDMq limit is 64 bytes
65,1,hash,all,ok,1210,
65,16,bndmq,all,invalid,0,BNDMq limit is 64 bytes
65,16,hash,all,ok,1713,
65,16,aho_corasick,all,ok,1337,
65,2,aho_corasick,all,ok,2929,
65,2,hash,all,ok,1300,
