wave,axis,k,patterns,mode,lower_k,upper_k,lower_patterns,upper_patterns,lower_algorithm,upper_algorithm,complete
1,patterns,24,91,first,24,24,64,128,aho_corasick,hash,yes
1,patterns,24,108,first,24,24,91,128,aho_corasick,hash,yes
1,patterns,24,118,first,24,24,108,128,aho_corasick,hash,yes
1,patterns,24,181,all,24,24,128,256,aho_corasick,hash,yes
1,patterns,24,215,all,24,24,181,256,aho_corasick,hash,yes
1,patterns,24,235,all,24,24,215,256,aho_corasick,hash,yes
1,k,27,16,all,24,31,16,16,aho_corasick,bndmq,yes
1,k,27,16,first,24,31,16,16,aho_corasick,bndmq,yes
1,k,29,16,all,27,31,16,16,aho_corasick,bndmq,yes
1,k,29,16,first,27,31,16,16,aho_corasick,bndmq,yes
1,k,30,16,all,29,31,16,16,aho_corasick,bndmq,yes
1,k,30,16,first,29,31,16,16,aho_corasick,bndmq,yes
1,patterns,31,17,all,31,31,16,19,bndmq,aho_corasick,yes
1,patterns,31,17,first,31,31,16,19,bndmq,aho_corasick,yes
1,patterns,31,19,all,31,31,16,23,bndmq,aho_corasick,yes
1,patterns,31,19,first,31,31,16,23,bndmq,aho_corasick,yes
1,patterns,31,23,all,31,31,16,32,bndmq,aho_corasick,yes
1,patterns,31,23,first,31,31,16,32,bndmq,aho_corasick,yes
1,patterns,31,91,first,31,31,64,128,aho_corasick,hash,yes
1,patterns,31,108,first,31,31,91,128,aho_corasick,hash,yes
1,patterns,31,118,first,31,31,108,128,aho_corasick,hash,yes
1,patterns,31,181,all,31,31,128,256,aho_corasick,hash,yes
1,patterns,31,215,all,31,31,181,256,aho_corasick,hash,yes
1,patterns,31,235,all,31,31,215,256,aho_corasick,hash,yes
1,k,35,64,first,31,40,64,64,aho_corasick,hash,yes
1,k,35,128,all,31,40,128,128,aho_corasick,hash,yes
1,k,36,64,first,35,37,64,64,aho_corasick,hash,yes
1,k,36,128,all,35,37,128,128,aho_corasick,hash,yes
1,k,37,64,first,35,40,64,64,aho_corasick,hash,yes
1,k,37,128,all,35,40,128,128,aho_corasick,hash,yes
1,patterns,40,17,all,40,40,16,19,bndmq,aho_corasick,yes
1,patterns,40,19,all,40,40,16,23,bndmq,aho_corasick,yes
1,patterns,40,19,first,40,40,16,23,bndmq,aho_corasick,yes
1,patterns,40,21,first,40,40,19,23,bndmq,aho_corasick,yes
1,patterns,40,23,all,40,40,16,32,bndmq,aho_corasick,yes
