k,q,mode,run,iterations,patterns,sequences_per_pattern,sequence_length,bases,elapsed_ns,ns_per_base,checksum
4,1,all,5,1,256,512,150,19660800,31442958,1.599271545,4948071
4,3,all,5,2,256,512,150,39321600,28483833,0.724381332,9896142
4,2,all,6,2,256,512,150,39321600,34760417,0.884003118,9896142
4,1,all,6,1,256,512,150,19660800,31596291,1.607070465,4948071
4,3,all,6,2,256,512,150,39321600,28504708,0.724912211,9896142
4,4,all,6,1,256,512,150,19660800,23619375,1.201343536,4948071
4,4,all,7,1,256,512,150,19660800,23563375,1.198495229,4948071
4,3,all,7,2,256,512,150,39321600,28597583,0.727274144,9896142
4,2,all,7,2,256,512,150,39321600,35261292,0.896741028,9896142
4,1,all,7,1,256,512,150,19660800,31526167,1.603503774,4948071
4,4,all,8,1,256,512,150,19660800,23494875,1.195011139,4948071
4,2,all,8,2,256,512,150,39321600,35312916,0.898053894,9896142
4,1,all,8,1,256,512,150,19660800,31370333,1.595577647,4948071
4,3,all,8,2,256,512,150,39321600,28488125,0.724490484,9896142
4,3,all,9,2,256,512,150,39321600,28480458,0.724295502,9896142
4,4,all,9,1,256,512,150,19660800,23430333,1.191728363,4948071
4,2,all,9,2,256,512,150,39321600,35040708,0.891131287,9896142
4,1,all,9,1,256,512,150,19660800,31391167,1.596637319,4948071
4,4,all,10,1,256,512,150,19660800,23463208,1.193400472,4948071
4,3,all,10,2,256,512,150,39321600,28618042,0.727794444,9896142
4,1,all,10,1,256,512,150,19660800,31472708,1.600784709,4948071
4,2,all,10,2,256,512,150,39321600,35375917,0.899656092,9896142
4,3,all,11,2,256,512,150,39321600,28501625,0.724833806,9896142
4,1,all,11,1,256,512,150,19660800,31566250,1.605542501,4948071
4,4,all,11,1,256,512,150,19660800,23441042,1.192273051,4948071
4,2,all,11,2,256,512,150,39321600,35471083,0.902076289,9896142
4,2,all,12,2,256,512,150,39321600,34958708,0.889045919,9896142
4,1,all,12,1,256,512,150,19660800,31595625,1.607036591,4948071
4,4,all,12,1,256,512,150,19660800,23503875,1.195468903,4948071
4,3,all,12,2,256,512,150,39321600,28431584,0.723052572,9896142
4,2,all,13,2,256,512,150,39321600,34692250,0.882269541,9896142
4,4,all,13,1,256,512,150,19660800,23586333,1.199662933,4948071
4,1,all,13,1,256,512,150,19660800,31568375,1.605650584,4948071
4,3,all,13,2,256,512,150,39321600,28637416,0.728287150,9896142
4,3,all,14,2,256,512,150,39321600,28468625,0.723994573,9896142
4,4,all,14,1,256,512,150,19660800,23521209,1.196350555,4948071
4,2,all,14,2,256,512,150,39321600,35094666,0.892503510,9896142
4,1,all,14,1,256,512,150,19660800,31530333,1.603715668,4948071
5,3,first,0,3,256,512,150,58982400,26871292,0.455581529,196608
5,1,first,0,1,256,512,150,19660800,20924208,1.064260254,65536
5,2,first,0,2,256,512,150,39321600,26555750,0.675347646,131072
5,5,first,0,1,256,512,150,19660800,21258667,1.081271718,65536
5,4,first,0,2,256,512,150,39321600,20698792,0.526397502,131072
5,5,first,1,1,256,512,150,19660800,21093333,1.072862396,65536
5,3,first,1,3,256,512,150,58982400,26968917,0.457236684,196608
