k,q,mode,runs,median_ns_per_base,mean_ns_per_base,stddev_ns_per_base,min_ns_per_base,max_ns_per_base,slower_than_best_pct
14,5,all,15,0.222013265,0.222000970,0.000920585,0.219666799,0.223565420,0.0000
14,5,first,15,0.187280799,0.187247265,0.000585703,0.186176300,0.188285336,0.0000
14,6,all,15,0.241625885,0.241671471,0.001196451,0.240277191,0.245114217,8.8340
14,6,first,15,0.206555684,0.206555601,0.001004016,0.205101430,0.208370209,10.2920
14,7,all,15,0.285840569,0.285805101,0.001028611,0.284088987,0.287235578,28.7493
14,7,first,15,0.236657033,0.236577719,0.001271439,0.233899862,0.238773346,26.3648
14,8,all,15,0.325188637,0.325480710,0.001515796,0.323307254,0.329819794,46.4726
14,8,first,15,0.274374224,0.274359527,0.002072887,0.271430016,0.278921127,46.5042
14,9,all,15,0.412608253,0.417072153,0.009335039,0.409644792,0.435018175,85.8485
14,9,first,15,0.322409210,0.322637098,0.001521074,0.320003827,0.326842206,72.1528
14,10,all,15,0.523371175,0.523409170,0.001768818,0.520819550,0.527209167,135.7387
14,10,first,15,0.416802300,0.416586180,0.001828875,0.413561927,0.420069512,122.5547
14,11,all,15,0.674656754,0.675115231,0.002176532,0.671270142,0.678126017,203.8813
14,11,first,15,0.532427902,0.533322022,0.002103688,0.529218267,0.537638143,184.2939
14,12,all,15,0.902481079,0.907477200,0.017712261,0.900569483,0.970484416,306.4987
14,12,first,15,0.717296600,0.717226802,0.002065431,0.713793437,0.721287181,283.0059
15,1,all,15,0.621657893,0.623596832,0.007967190,0.614066671,0.643354009,187.5489
15,1,first,15,0.501255459,0.501485141,0.003947169,0.496913774,0.512674120,175.5569
15,2,all,15,0.527162552,0.528719582,0.005994423,0.524130910,0.548243001,143.8399
15,2,first,15,0.419259949,0.420613654,0.005638827,0.415804121,0.439218597,130.4813
15,3,all,15,0.335996416,0.337480707,0.004806244,0.332433200,0.349351383,55.4157
15,3,first,15,0.266913834,0.267845434,0.002584047,0.264886754,0.273806775,46.7315
15,4,all,15,0.229840597,0.230558240,0.002942841,0.227501343,0.237525513,6.3132
15,4,first,15,0.190380597,0.197398387,0.027484792,0.187775998,0.296570112,4.6586
15,5,all,15,0.216192037,0.216242783,0.001369919,0.214182963,0.220190684,0.0000
15,5,first,15,0.181906314,0.182049574,0.000829115,0.180439063,0.183662482,0.0000
15,6,all,15,0.227044851,0.227699081,0.002526720,0.225648661,0.235830088,5.0200
15,6,first,15,0.195000966,0.195142934,0.000879873,0.193935683,0.196577004,7.1986
15,7,all,15,0.263849360,0.266856934,0.010935117,0.262000287,0.305353266,22.0440
15,7,first,15,0.220411092,0.220640026,0.000930032,0.219205648,0.222552826,21.1674
15,8,all,15,0.296318258,0.300356477,0.009396557,0.294162432,0.327854691,37.0625
15,8,first,15,0.247098714,0.247017386,0.000742293,0.245700836,0.248747925,35.8384
15,9,all,15,0.360656314,0.366018461,0.009646101,0.357865228,0.381909824,66.8222
15,9,first,15,0.290813980,0.292449703,0.005700639,0.289489428,0.312664235,59.8702
15,10,all,15,0.430141720,0.431292829,0.004300667,0.426786923,0.443266398,98.9628
15,10,first,15,0.346502363,0.346664991,0.001407845,0.344120297,0.349490560,90.4840
15,11,all,15,0.562516327,0.567499515,0.009829041,0.558938980,0.590461095,160.1929
15,11,first,15,0.445313619,0.446951030,0.003696446,0.443246630,0.457634396,144.8038
15,12,all,15,0.700582937,0.701846517,0.005046370,0.698328018,0.719312032,224.0558
15,12,first,15,0.559867223,0.559567201,0.002242733,0.555855433,0.563001633,207.7778
16,1,all,15,0.577740148,0.578973838,0.004565619,0.572643280,0.590283076,178.0626
16,1,first,15,0.466536068,0.467659137,0.003100093,0.463793013,0.472377489,157.2432
16,2,all,15,0.498887516,0.498729846,0.001889019,0.495483263,0.502893660,140.1113
16,2,first,15,0.402869466,0.402454140,0.005993161,0.392683512,0.419028948,122.1381
16,3,all,15,0.333169301,0.333949900,0.002778847,0.330555522,0.340872871,60.3522
16,3,first,15,0.268218778,0.268215425,0.004017385,0.262221756,0.274369977,47.8931
16,4,all,15,0.225402405,0.227082287,0.005422717,0.223088155,0.245748739,8.4847
16,4,first,15,0.187732552,0.188593876,0.002320124,0.186454985,0.193836780,3.5138
16,5,all,15,0.207773427,0.208545798,0.002026292,0.206472178,0.213608632,0.0000
16,5,first,15,0.181359889,0.181265489,0.001151235,0.179447954,0.183614451,0.0000
16,6,all,15,0.219847778,0.220042646,0.001372392,0.218589783,0.223098755,5.8113
16,6,first,15,0.189771296,0.189812814,0.001052035,0.187981923,0.191954863,4.6380
16,7,all,15,0.247672607,0.248081207,0.002518854,0.245348612,0.255141357,19.2032
16,7,first,15,0.208165487,0.208231099,0.001132094,0.206495076,0.210105896,14.7803
16,8,all,15,0.272627932,0.274051915,0.004552699,0.270598208,0.287297567,31.2141
16,8,first,15,0.231552968,0.232029725,0.001092223,0.230849375,0.234838704,27.6760
16,9,all,15,0.323766607,0.328745135,0.008823909,0.321579514,0.345363617,55.8268
16,9,first,15,0.268350169,0.268362433,0.001311649,0.265875918,0.270442963,47.9656
16,10,all,15,0.380564796,0.379898355,0.003271160,0.373954773,0.383822818,83.1634
16,10,first,15,0.315755742,0.315959505,0.001366956,0.313630625,0.318681399,74.1045
16,11,all,15,0.486327972,0.491159744,0.017974766,0.483320736,0.555777367,134.0665
16,11,first,15,0.387826148,0.387915810,0.001888453,0.384132250,0.391351200,113.8434
16,12,all,15,0.581747691,0.581583586,0.001610604,0.578560308,0.584088415,179.9914
16,12,first,15,0.467493981,0.467776877,0.001312685,0.465203739,0.469803992,157.7714
17,1,all,15,0.558498179,0.564620339,0.015859439,0.553152313,0.615906194,176.1672
17,1,first,15,0.450327131,0.450814050,0.002004479,0.447813670,0.455184513,157.3325
17,2,all,15,0.478615943,0.479837631,0.002792393,0.477015889,0.487254825,136.6668
17,2,first,15,0.385421465,0.385128632,0.002934954,0.381529066,0.392782423,120.2431
17,3,all,15,0.324847438,0.324891974,0.001595860,0.322192510,0.329103470,60.6311
17,3,first,15,0.258139496,0.258143532,0.000874578,0.256178640,0.259361267,47.5098
17,4,all,15,0.221227010,0.221465753,0.001081019,0.220039368,0.223220408,9.3927
17,4,first,15,0.182637109,0.182836769,0.001698859,0.180859036,0.186439090,4.3651
17,5,all,15,0.202231934,0.202679500,0.001828605,0.200203369,0.207722982,0.0000
17,5,first,15,0.174998177,0.175016781,0.000886082,0.173686345,0.177162662,0.0000
17,6,all,15,0.212229828,0.212789549,0.002388096,0.210029602,0.220597585,4.9438
17,6,first,15,0.185005747,0.184957410,0.001137134,0.183233685,0.186873542,5.7187
17,7,all,15,0.235933940,0.235796608,0.001411709,0.234009633,0.238220642,16.6650
17,7,first,15,0.199954987,0.199796153,0.000997977,0.197399567,0.201410502,14.2612
17,8,all,15,0.260981445,0.264937541,0.007071657,0.258913574,0.277951024,29.0506
17,8,first,15,0.222391764,0.222522340,0.000839437,0.221129527,0.223884155,27.0823
17,9,all,15,0.299299024,0.301381921,0.005694230,0.298293432,0.316079979,47.9979
17,9,first,15,0.247578087,0.247396223,0.000948618,0.245780423,0.249363581,41.4747
17,10,all,15,0.342182579,0.341792848,0.002658290,0.335748456,0.345818202,69.2030
17,10,first,15,0.284472046,0.284584681,0.001561821,0.281845729,0.288441442,62.5571
17,11,all,15,0.420780182,0.422994214,0.006691761,0.417656369,0.444293552,108.0681
17,11,first,15,0.332873298,0.332715256,0.001458453,0.330440369,0.334833628,90.2153
17,12,all,15,0.509088999,0.509152213,0.001579665,0.507041083,0.511876560,151.7352
17,12,first,15,0.412311554,0.412156943,0.001625436,0.408419851,0.414372186,135.6091
18,1,all,15,0.537842662,0.555635383,0.051515652,0.529638926,0.735742772,167.7638
18,1,first,15,0.432836745,0.437972033,0.021312507,0.427555508,0.513629201,151.7117
18,2,all,15,0.454757114,0.465831613,0.032533153,0.451180488,0.578802592,126.3998
18,2,first,15,0.363619758,0.368608919,0.016584178,0.358951009,0.425579631,111.4592
18,3,all,15,0.327238503,0.337120410,0.020275029,0.325891698,0.387969551,62.9150
18,3,first,15,0.264553490,0.268849974,0.011424421,0.261811155,0.296457609,53.8483
18,4,all,15,0.216707448,0.227244935,0.020708084,0.214997609,0.278148224,7.8873
18,4,first,15,0.179917374,0.180703292,0.002126441,0.178574100,0.185998281,4.6291
18,5,all,15,0.200864583,0.204795187,0.010735641,0.198061625,0.239646495,0.0000
18,5,first,15,0.171957372,0.173975439,0.004721482,0.169980435,0.188912286,0.0000
18,6,all,15,0.209408234,0.219194792,0.022584319,0.207872599,0.278677205,4.2534
18,6,first,15,0.181301965,0.181800395,0.001583400,0.179936447,0.184995507,5.4342
18,7,all,15,0.226963898,0.238933845,0.037552724,0.225226501,0.371035258,12.9935
18,7,first,15,0.196285248,0.196709786,0.002475287,0.193352873,0.202185669,14.1476
18,8,all,15,0.253899038,0.299727318,0.108629627,0.248841176,0.645690063,26.4031
18,8,first,15,0.215782166,0.220740084,0.017628746,0.213769694,0.283941060,25.4858
18,9,all,15,0.284102758,0.295710704,0.025371902,0.282317797,0.376378174,41.4399
18,9,first,15,0.237369965,0.238674899,0.003010554,0.236222168,0.246477346,38.0400
18,10,all,15,0.325209821,0.333053836,0.021446196,0.318102837,0.391750336,61.9050
18,10,first,15,0.267188288,0.268755029,0.007314683,0.263290927,0.294412511,55.3805
18,11,all,15,0.372031182,0.377267813,0.014313758,0.367322150,0.415374603,85.2149
18,11,first,15,0.302865245,0.304319061,0.002710124,0.300621452,0.308868090,76.1281
18,12,all,15,0.428081801,0.438078186,0.025911292,0.425196042,0.523441450,113.1196
18,12,first,15,0.351663513,0.352414873,0.003362349,0.348875258,0.362036675,104.5062
19,1,all,15,0.517274017,0.521427792,0.008680790,0.513624624,0.547693049,165.9587
19,1,first,15,0.427638872,0.437231887,0.017223547,0.420469360,0.472850087,151.4302
19,2,all,15,0.449834747,0.450940024,0.005764974,0.444660899,0.470460256,131.2845
19,2,first,15,0.360536211,0.366496239,0.010856170,0.356403622,0.389849345,111.9772
19,3,all,15,0.318540993,0.319255120,0.002562966,0.316584905,0.326837425,63.7793
19,3,first,15,0.256591377,0.265649478,0.015315493,0.252785683,0.301828384,50.8629
19,4,all,15,0.218616903,0.219261988,0.002346426,0.216448039,0.225198954,12.4028
19,4,first,15,0.183567115,0.189812106,0.011264942,0.180165321,0.216907925,7.9283
19,5,all,15,0.194494103,0.195174912,0.002619141,0.193251148,0.204286931,0.0000
19,5,first,15,0.170082516,0.175296688,0.010335799,0.165242089,0.201773114,0.0000
19,6,all,15,0.203223765,0.203611220,0.002389990,0.201685588,0.211872955,4.4884
19,6,first,15,0.177805871,0.183398424,0.010803461,0.175940899,0.214012646,4.5409
19,7,all,15,0.219418416,0.219795821,0.001882079,0.217888306,0.225992839,12.8149
19,7,first,15,0.194837782,0.198643460,0.010168350,0.188055742,0.217869373,14.5549
19,8,all,15,0.234957804,0.237370160,0.005146307,0.233485748,0.248550415,20.8046
19,8,first,15,0.202785492,0.208709123,0.008356242,0.200529734,0.222371847,19.2277
19,9,all,15,0.259414241,0.262530115,0.005346386,0.258229040,0.272063675,33.3790
19,9,first,15,0.221808960,0.229466053,0.013756192,0.219265839,0.266492635,30.4126
19,10,all,15,0.298024279,0.298604434,0.005218689,0.293961105,0.310142835,53.2305
19,10,first,15,0.257854996,0.265499999,0.015021767,0.253202655,0.296208585,51.6058
19,11,all,15,0.337907473,0.336592639,0.004492350,0.330657959,0.347901446,73.7366
19,11,first,15,0.282244682,0.291577093,0.014337770,0.279601415,0.318238462,65.9457
