k,patterns,mode,transition,from_algorithm,to_algorithm,crossover_bases,bootstrap_ci_low_bases,bootstrap_ci_high_bases,bootstrap_transition_support_pct
12,1,all,0,hash,bndmq,203.932412,133.716749,497.891323,100.00
12,1,first,0,hash,bndmq,399.651966,218.148953,792.927717,100.00
12,2,all,0,hash,bndmq,717.108077,636.927406,1173.260328,100.00
12,2,first,0,hash,bndmq,1082.928340,932.523804,2228.553679,100.00
12,4,all,0,hash,bndmq,2120.261373,2016.193759,2771.861324,100.00
12,4,first,0,hash,bndmq,3042.742549,2788.777410,4506.044822,100.00
12,8,all,0,hash,bndmq,29823.288529,20320.875311,50062.190033,99.60
12,8,all,1,bndmq,aho_corasick,94505.894458,73447.364338,117943.291930,99.60
12,8,first,0,hash,aho_corasick,148558.447204,114743.483322,211862.544518,98.70
12,16,all,0,hash,aho_corasick,105837.547945,90481.484538,153183.508123,100.00
12,16,first,0,hash,aho_corasick,198266.890120,174883.642998,266145.910156,100.00
12,32,all,0,hash,aho_corasick,250582.613290,226057.965765,351916.380275,100.00
12,32,first,0,hash,aho_corasick,489410.692406,368040.172445,629910.533934,100.00
12,64,all,0,hash,aho_corasick,693468.001778,455772.403561,991470.189833,100.00
12,64,first,0,hash,aho_corasick,791619.580004,578925.914114,1160074.093209,100.00
12,128,all,0,hash,aho_corasick,1101236.245481,926649.969276,1565970.318884,100.00
12,128,first,0,hash,aho_corasick,1743704.974360,1549351.726416,3733143.205118,100.00
12,256,all,0,hash,aho_corasick,2818923.837612,1958995.953378,52501188.457459,99.70
16,1,all,0,hash,bndmq,281.562582,238.484625,542.276949,100.00
16,1,first,0,hash,bndmq,387.331523,300.082829,858.706280,100.00
16,2,all,0,hash,bndmq,642.212157,502.267231,1197.312493,100.00
16,2,first,0,hash,bndmq,1032.837475,825.264988,1498.169303,100.00
16,4,all,0,hash,bndmq,1736.115640,750.603064,2872.816478,100.00
16,4,first,0,hash,bndmq,2536.114426,2439.924438,3275.932998,100.00
16,8,all,0,hash,bndmq,6839.435608,6228.075806,11068.361643,100.00
16,8,first,0,hash,bndmq,12527.195290,9276.568942,16197.982512,100.00
16,16,all,0,hash,aho_corasick,156227.695458,119148.002657,216863.489356,100.00
16,16,first,0,hash,aho_corasick,326760.222606,241197.595416,480112.462487,100.00
16,32,all,0,hash,aho_corasick,396048.234288,342669.194739,598222.117433,100.00
16,32,first,0,hash,aho_corasick,605114.774138,544360.377844,886979.593435,100.00
16,64,all,0,hash,aho_corasick,1197713.036299,957812.894625,1816677.115126,100.00
16,64,first,0,hash,aho_corasick,1643241.033086,1123345.183315,2828568.435213,100.00
16,128,all,0,hash,aho_corasick,3072958.513389,2455045.338389,3869734.232818,100.00
16,128,first,0,hash,aho_corasick,8147589.804982,4100920.529239,78355131.971314,97.30
20,1,all,0,hash,bndmq,270.864460,169.810705,572.650013,100.00
20,1,first,0,hash,bndmq,446.823587,231.203935,883.400471,100.00
20,2,all,0,hash,bndmq,679.750641,611.900011,1131.923044,100.00
20,2,first,0,hash,bndmq,1063.230265,945.047618,1498.732307,100.00
20,4,all,0,hash,bndmq,1572.972411,1341.010702,1884.376453,100.00
20,4,first,0,hash,bndmq,2457.517749,2230.532367,3398.438151,100.00
20,8,all,0,hash,bndmq,4408.264012,2444.219507,4516.314066,100.00
20,8,first,0,hash,bndmq,6436.811895,5633.982328,9051.796537,100.00
20,16,all,0,hash,aho_corasick,381722.186926,211690.470481,564160.319458,100.00
20,16,first,0,hash,aho_corasick,368529.714935,311928.291502,460480.673933,100.00
20,32,all,0,hash,aho_corasick,530783.223887,455890.830376,860642.131592,100.00
20,32,first,0,hash,aho_corasick,969328.871006,671878.183853,1506358.320031,100.00
20,64,all,0,hash,aho_corasick,1278481.450860,984279.761576,1960982.395223,100.00
20,64,first,0,hash,aho_corasick,2217225.233035,1605577.774875,3962552.518324,100.00
20,128,all,0,hash,aho_corasick,2215093.531722,1997322.481947,2725902.636280,100.00
20,128,first,0,hash,aho_corasick,3919038.075859,3230658.112697,5774423.398885,100.00
24,1,all,0,hash,bndmq,321.732926,236.244143,936.723061,100.00
24,1,first,0,hash,bndmq,613.968358,312.983670,776.201875,100.00
24,2,all,0,hash,bndmq,860.724013,711.937210,1188.676521,100.00
24,2,first,0,hash,bndmq,837.818979,663.859319,1704.551236,100.00
24,4,all,0,hash,bndmq,1411.133023,1298.608814,2093.606687,100.00
24,4,first,0,hash,bndmq,2505.591854,1978.845448,3027.661708,100.00
24,8,all,0,hash,bndmq,3870.955193,3174.084523,5071.571740,100.00
24,8,first,0,hash,bndmq,4814.286910,4319.484805,6937.897959,100.00
24,16,all,0,hash,bndmq,149186.227872,65286.599884,376401.189460,68.40
24,16,all,1,bndmq,aho_corasick,369422.447191,282069.043015,504647.975659,68.40
24,16,first,0,hash,aho_corasick,1683133.344376,1037215.374581,8120841.209797,100.00
24,32,all,0,hash,aho_corasick,1287432.934811,1019560.954307,2186966.424248,100.00
24,32,first,0,hash,aho_corasick,4724042.811711,1991361.006804,27649486.494618,92.80
24,64,all,0,hash,aho_corasick,1470059.927827,1136687.548185,2087943.869401,100.00
24,64,first,0,hash,aho_corasick,3806251.214237,2105309.164363,10076523.533492,100.00
24,128,all,0,hash,aho_corasick,37983926.474841,9088893.474805,50599914.146166,72.80
31,1,all,0,hash,bndmq,258.607873,172.552492,402.113538,100.00
31,1,first,0,hash,bndmq,322.746243,216.097167,587.472868,100.00
31,2,all,0,hash,bndmq,561.547195,472.466593,921.756477,100.00
31,2,first,0,hash,bndmq,767.779662,176.465186,1865.772743,100.00
31,4,all,0,hash,bndmq,1225.803106,1104.057137,1453.941417,100.00
31,4,first,0,hash,bndmq,1803.308265,1608.301722,4732.064162,100.00
31,8,all,0,hash,bndmq,3229.243769,2680.732521,4978.670098,100.00
31,8,first,0,hash,bndmq,3841.370021,3072.370834,5464.542706,100.00
31,16,all,0,hash,bndmq,16144.003894,13002.057222,41750.349251,100.00
31,16,first,0,hash,bndmq,22433.014011,19866.637623,48341.858481,100.00
31,32,all,0,hash,aho_corasick,725803.743568,490314.308712,1168709.523845,100.00
31,32,first,0,hash,aho_corasick,3498377.828434,2485635.420506,6818896.029330,100.00
31,64,all,0,hash,aho_corasick,2933774.206625,2303837.088506,4812838.056616,100.00
31,64,first,0,hash,aho_corasick,8513238.691993,5136871.689839,42714712.404228,100.00
31,128,all,0,hash,aho_corasick,10326414.001766,5572813.816495,48307559.029831,99.60
40,1,all,0,hash,bndmq,350.611815,197.789513,474.482354,100.00
40,1,first,0,hash,bndmq,320.459376,125.383204,839.254069,100.00
40,2,all,0,hash,bndmq,597.038399,474.939025,1137.050543,100.00
40,2,first,0,hash,bndmq,890.465779,610.085511,1304.931942,100.00
40,4,all,0,hash,bndmq,1241.873536,1044.508416,1400.537312,100.00
40,4,first,0,hash,bndmq,1892.791223,1381.021088,2103.667836,100.00
40,8,all,0,hash,bndmq,2483.404826,2251.322572,4658.400314,100.00
