k,patterns,mode,algorithm,runs,median_build_ms_per_matcher,median_search_ns_per_base,median_reference_ns_per_base,mean_reference_ns_per_base,stddev_reference_ns_per_base,min_reference_ns_per_base,max_reference_ns_per_base,slower_than_best_pct
4,64,first,hash,5,0.001948,0.291311000,0.291330374,0.324081928,0.066807803,0.289713410,0.443057081,35.6629
4,91,first,aho_corasick,5,0.061445,0.178661901,0.179392728,0.179862449,0.007343562,0.171732656,0.190693611,0.0000
4,91,first,bndmq,5,0.017375,1.257137443,1.257323555,1.266716396,0.022719484,1.239542584,1.295841580,600.8777
4,91,first,hash,5,0.002111,0.277200692,0.277262499,0.282011077,0.010549724,0.272899763,0.299488437,54.5562
4,108,first,aho_corasick,5,0.070445,0.167361161,0.168042406,0.172593482,0.009463949,0.167375188,0.189406961,0.0000
4,108,first,bndmq,5,0.020778,1.221988564,1.222103007,1.237585711,0.035302159,1.220755231,1.300726684,627.2587
4,108,first,hash,5,0.002500,0.253984218,0.254015885,0.256845946,0.008709371,0.249520507,0.271935468,51.1618
4,128,all,aho_corasick,5,0.079209,6.288374503,6.289339086,6.283584015,0.094010990,6.134625651,6.383098899,0.0000
4,128,all,hash,5,0.003187,9.006434907,9.006521362,9.070177027,0.143422970,8.943722108,9.246376302,43.2030
4,128,first,aho_corasick,5,0.082459,0.160466759,0.161337177,0.164577839,0.009565961,0.156464062,0.181006308,0.8123
4,128,first,bndmq,5,0.028125,1.253283743,1.253705828,1.255591823,0.024323590,1.232725450,1.289629506,683.3841
4,128,first,hash,5,0.002292,0.160004260,0.160037175,0.162881381,0.010909496,0.154902400,0.181857971,0.0000
4,256,all,aho_corasick,5,0.140792,4.868694013,4.870656509,4.616880932,0.414794890,4.120672179,4.966752566,0.0000
4,256,all,hash,5,0.007708,4.966113398,4.966181738,4.978668377,0.030085550,4.962662165,5.032393265,1.9612
4,256,first,aho_corasick,5,0.124958,0.068546953,0.069926940,0.071996022,0.012836876,0.057344885,0.086463987,2.3448
4,256,first,bndmq,5,0.020958,1.243016264,1.243229594,1.247142254,0.017337054,1.229877540,1.266756216,1719.5859
4,256,first,hash,5,0.006333,0.068256953,0.068324863,0.073322439,0.011532545,0.063185294,0.092780654,0.0000
5,1,all,aho_corasick,5,0.007971,0.639877686,0.639960396,0.642860253,0.006700648,0.639007914,0.654702311,5.0944
5,1,all,bndmq,5,0.000329,0.608934976,0.608938576,0.614811460,0.013804494,0.603600610,0.638359787,0.0000
5,1,all,hash,5,0.000295,1.790593724,1.790597395,1.795123332,0.008522727,1.787184108,1.805667846,194.0522
5,1,first,aho_corasick,5,0.008074,0.409438842,0.409531812,0.405430137,0.009329892,0.394903414,0.415408416,0.0000
5,1,first,bndmq,5,0.000383,0.442491271,0.442495372,0.445578379,0.010523468,0.437935103,0.463696155,8.0491
5,1,first,hash,5,0.000340,1.290903094,1.290905835,1.302148929,0.022173429,1.288944348,1.340949140,215.2150
5,128,first,aho_corasick,5,0.108958,0.262925724,0.264060932,0.311639794,0.115598551,0.253141789,0.518248134,0.0000
5,128,first,bndmq,5,0.028334,3.625290659,3.625588159,3.637624557,0.026140146,3.615134230,3.678412018,1273.0120
5,128,first,hash,5,0.002687,0.363981772,0.364033022,0.367607097,0.006460072,0.361171773,0.374731541,37.8595
5,256,first,aho_corasick,5,0.192958,0.223751632,0.225869138,0.228462627,0.005863712,0.223596633,0.236765776,0.0000
5,256,first,bndmq,5,0.052542,3.608856942,3.609383201,3.618738762,0.019775286,3.600588219,3.645098960,1497.9975
5,256,first,hash,5,0.003209,0.310644379,0.310693959,0.319600279,0.013024521,0.309205632,0.334911000,37.5549
6,1,all,aho_corasick,5,0.008292,0.631599155,0.631684242,0.654042161,0.047407213,0.627976185,0.738249788,23.4011
6,1,all,bndmq,5,0.000372,0.511891978,0.511895350,0.515292520,0.009868298,0.508958828,0.532779649,0.0000
6,1,all,hash,5,0.000342,1.756946781,1.756951487,1.757628591,0.016961972,1.734400350,1.781246258,243.2247
6,1,first,aho_corasick,5,0.008191,0.410655776,0.410742210,0.411865228,0.001956517,0.410149753,0.414359302,2.5433
6,1,first,bndmq,5,0.000326,0.400549560,0.400554741,0.405047164,0.010109354,0.400055704,0.423121651,0.0000
6,1,first,hash,5,0.000170,1.312636153,1.312639290,1.313638033,0.002192877,1.312323976,1.317510128,227.7053
6,2,all,aho_corasick,5,0.009844,4.185470510,4.185571564,4.192310629,0.014064081,4.182182337,4.215741485,335.7875
6,2,all,bndmq,5,0.000555,0.960455392,0.960461699,0.964429863,0.008640779,0.956880371,0.978098052,0.0000
