k,patterns,mode,best_algorithm,median_reference_ns_per_base,second_algorithm,margin_pct
16,8,all,bndmq,2.031467479,aho_corasick,4.7509
16,8,first,bndmq,1.533653107,aho_corasick,0.2931
16,16,all,aho_corasick,2.141285189,hash,14.6968
16,16,first,aho_corasick,1.572112638,hash,14.2419
16,32,all,aho_corasick,2.133038549,hash,15.5002
16,32,first,aho_corasick,1.541236079,hash,15.8405
16,64,all,aho_corasick,2.200711559,hash,12.0067
16,64,first,aho_corasick,1.608222879,hash,12.8339
16,128,all,aho_corasick,2.288386083,hash,10.1669
16,128,first,aho_corasick,1.748155999,hash,5.2163
16,256,all,hash,2.520439919,aho_corasick,1.3307
16,256,first,hash,1.769084462,aho_corasick,11.1070
16,1000,all,hash,2.484603181,aho_corasick,64.3884
16,1000,first,hash,1.796615987,aho_corasick,77.4715
16,10000,all,hash,3.050954958,aho_corasick,217.8133
16,10000,first,hash,2.268118654,aho_corasick,238.3015
16,100000,all,hash,5.605336889,,
16,100000,first,hash,4.484013932,,
16,1000000,all,hash,8.335798278,,
16,1000000,first,hash,6.726762336,,
20,1,all,bndmq,0.301036835,aho_corasick,101.1355
20,1,first,bndmq,0.256767657,aho_corasick,22.6502
20,2,all,bndmq,0.482811323,hash,312.0638
20,2,first,bndmq,0.387493708,hash,269.8884
20,4,all,bndmq,0.847420033,aho_corasick,150.3615
20,4,first,bndmq,0.662803716,hash,130.8201
20,8,all,bndmq,1.554308973,aho_corasick,35.1422
20,8,first,bndmq,1.176174790,aho_corasick,32.0058
20,16,all,aho_corasick,2.143098178,hash,14.9535
20,16,first,aho_corasick,1.543800920,hash,18.2223
20,32,all,aho_corasick,2.129539644,hash,13.6592
20,32,first,aho_corasick,1.553362573,hash,13.9715
20,64,all,aho_corasick,2.195548531,hash,15.8575
20,64,first,aho_corasick,1.616728536,hash,9.5001
20,128,all,aho_corasick,2.245484394,hash,14.4179
20,128,first,aho_corasick,1.739006177,hash,6.4363
20,256,all,hash,2.523730883,aho_corasick,1.6331
20,256,first,hash,1.793335493,aho_corasick,14.6265
20,1000,all,hash,2.514655701,aho_corasick,70.5631
20,1000,first,hash,1.886572167,aho_corasick,80.2726
20,10000,all,hash,2.940448239,aho_corasick,246.5588
20,10000,first,hash,2.167587945,aho_corasick,278.2352
20,100000,all,hash,5.894813900,,
20,100000,first,hash,4.337465015,,
20,1000000,all,hash,7.785238290,,
20,1000000,first,hash,8.670483909,,
24,1,all,bndmq,0.263537938,aho_corasick,126.2027
24,1,first,bndmq,0.240478732,aho_corasick,25.2895
24,2,all,bndmq,0.411820923,hash,374.1227
24,2,first,bndmq,0.354454562,hash,294.8717
24,4,all,bndmq,0.767675581,aho_corasick,177.5229
24,4,first,bndmq,0.571686888,hash,173.9444
24,8,all,bndmq,1.278035530,aho_corasick,59.9966
24,8,first,bndmq,1.011344919,aho_corasick,52.6037
24,16,all,aho_corasick,2.133818118,bndmq,12.0065
24,16,first,aho_corasick,1.548132810,hash,11.9245
24,32,all,aho_corasick,2.119012435,hash,12.6167
24,32,first,aho_corasick,1.633719208,hash,8.0681
24,64,all,aho_corasick,2.240761961,hash,11.7037
24,64,first,aho_corasick,1.672909097,hash,9.1614
24,128,all,aho_corasick,2.335467459,hash,3.4401
24,128,first,hash,1.734602826,aho_corasick,3.9126
24,256,all,hash,2.466684887,aho_corasick,11.7506
24,256,first,hash,1.820724439,aho_corasick,13.2591
24,1000,all,hash,2.588190054,aho_corasick,61.6868
24,1000,first,hash,1.910790018,aho_corasick,79.0062
24,10000,all,hash,2.920667569,aho_corasick,261.0500
24,10000,first,hash,2.141875796,aho_corasick,300.6686
24,100000,all,hash,5.704530291,,
24,100000,first,hash,4.456814866,,
24,1000000,all,hash,7.488047214,,
24,1000000,first,hash,6.592695595,,
31,1,all,bndmq,0.251687478,aho_corasick,150.2681
