k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
4,2,bndmq,first,4,1,64,10418,150,100000000,100012800,56114,118036068,118123500,1366.125,876.781,1.180209613,118037434.125,1.180223273,7382909141788156224,561887,561887,7382909141788156224
4,4,hash,first,0,1,64,10418,150,100000000,100012800,29315,105476736,105510148,522.062,458.047,1.054632367,105477258.062,1.054637587,5419814996855450317,634058,634058,5419814996855450317
4,4,hash,first,1,1,64,10418,150,100000000,100012800,27862,106160110,106193372,519.719,435.344,1.061465232,106160629.719,1.061470429,5419814996855450317,634058,634058,5419814996855450317
4,4,hash,first,2,1,64,10418,150,100000000,100012800,19446,101608720,101634057,395.891,303.844,1.015957157,101609115.891,1.015961116,5419814996855450317,634058,634058,5419814996855450317
4,4,hash,first,3,1,64,10418,150,100000000,100012800,18414,104627743,104651006,363.484,287.719,1.046143524,104628106.484,1.046147158,5419814996855450317,634058,634058,5419814996855450317
4,4,hash,first,4,1,64,10418,150,100000000,100012800,20949,119732755,119762140,459.141,327.328,1.197174312,119733214.141,1.197178903,5419814996855450317,634058,634058,5419814996855450317
4,4,bndmq,first,0,1,64,10418,150,100000000,100012800,155070,286422856,286610697,2935.016,2422.969,2.863861986,286425791.016,2.863891332,5419814996855450317,634058,634058,5419814996855450317
4,4,bndmq,first,1,1,64,10418,150,100000000,100012800,153256,179533660,179716871,2862.672,2394.625,1.795106826,179536522.672,1.795135449,5419814996855450317,634058,634058,5419814996855450317
4,4,bndmq,first,2,1,64,10418,150,100000000,100012800,127849,214843652,215028758,2892.281,1997.641,2.148161555,214846544.281,2.148190474,5419814996855450317,634058,634058,5419814996855450317
4,4,bndmq,first,3,1,64,10418,150,100000000,100012800,175417,194485106,194684900,3121.781,2740.891,1.944602151,194488227.781,1.944633365,5419814996855450317,634058,634058,5419814996855450317
4,4,bndmq,first,4,1,64,10418,150,100000000,100012800,120325,278502289,278694948,3010.297,1880.078,2.784666453,278505299.297,2.784696552,5419814996855450317,634058,634058,5419814996855450317
4,4,aho_corasick,first,0,1,64,10418,150,100000000,100012800,1123015,75162233,76325734,18179.703,17547.109,0.751526135,75180412.703,0.751707908,5419814996855450317,634058,634058,5419814996855450317
4,4,aho_corasick,first,1,1,64,10418,150,100000000,100012800,3114027,83210416,86362014,49243.719,48656.672,0.831997664,83259659.719,0.832490038,5419814996855450317,634058,634058,5419814996855450317
4,4,aho_corasick,first,2,1,64,10418,150,100000000,100012800,1018580,75874440,76923717,16394.953,15915.312,0.758647293,75890834.953,0.758811222,5419814996855450317,634058,634058,5419814996855450317
4,4,aho_corasick,first,3,1,64,10418,150,100000000,100012800,825310,75430071,76301557,13616.969,12895.469,0.754204172,75443687.969,0.754340324,5419814996855450317,634058,634058,5419814996855450317
4,4,aho_corasick,first,4,1,64,10418,150,100000000,100012800,844114,76051049,76924308,13644.672,13189.281,0.760413157,76064693.672,0.760549586,5419814996855450317,634058,634058,5419814996855450317
4,8,bndmq,first,0,1,32,20834,150,100000000,100003200,192379,173365411,173589018,6987.719,6011.844,1.733598635,173372398.719,1.733668510,641994439437343755,663396,663396,641994439437343755
4,8,bndmq,first,1,1,32,20834,150,100000000,100003200,123109,171692949,171843679,4710.312,3847.156,1.716874550,171697659.312,1.716921652,641994439437343755,663396,663396,641994439437343755
4,8,bndmq,first,2,1,32,20834,150,100000000,100003200,108663,168578709,168712348,4176.219,3395.719,1.685733147,168582885.219,1.685774907,641994439437343755,663396,663396,641994439437343755
4,8,bndmq,first,3,1,32,20834,150,100000000,100003200,107581,169199868,169334880,4219.125,3361.906,1.691944538,169204087.125,1.691986728,641994439437343755,663396,663396,641994439437343755
4,8,bndmq,first,4,1,32,20834,150,100000000,100003200,106859,170630896,170773932,4469.875,3339.344,1.706254360,170635365.875,1.706299057,641994439437343755,663396,663396,641994439437343755
4,8,aho_corasick,first,0,1,32,20834,150,100000000,100003200,576746,53879274,54498369,19346.719,18023.312,0.538775499,53898620.719,0.538968960,641994439437343755,663396,663396,641994439437343755
4,8,aho_corasick,first,1,1,32,20834,150,100000000,100003200,591203,54037675,54661879,19506.375,18475.094,0.540359458,54057181.375,0.540554516,641994439437343755,663396,663396,641994439437343755
4,8,aho_corasick,first,2,1,32,20834,150,100000000,100003200,530059,53897581,54447547,17186.438,16564.344,0.538958563,53914767.438,0.539130422,641994439437343755,663396,663396,641994439437343755
4,8,aho_corasick,first,3,1,32,20834,150,100000000,100003200,542101,53926315,54491870,17673.594,16940.656,0.539245894,53943988.594,0.539422624,641994439437343755,663396,663396,641994439437343755
4,8,aho_corasick,first,4,1,32,20834,150,100000000,100003200,603526,54222255,54850376,19628.781,18860.188,0.542205199,54241883.781,0.542401481,641994439437343755,663396,663396,641994439437343755
4,8,hash,first,0,1,32,20834,150,100000000,100003200,21020,85766604,85792744,816.875,656.875,0.857638596,85767420.875,0.857646764,641994439437343755,663396,663396,641994439437343755
4,8,hash,first,1,1,32,20834,150,100000000,100003200,19807,91786836,91810560,741.375,618.969,0.917838989,91787577.375,0.917846403,641994439437343755,663396,663396,641994439437343755
4,8,hash,first,2,1,32,20834,150,100000000,100003200,13335,84561376,84579299,560.094,416.719,0.845586701,84561936.094,0.845592302,641994439437343755,663396,663396,641994439437343755
4,8,hash,first,3,1,32,20834,150,100000000,100003200,13114,82379205,82396837,551.000,409.812,0.823765689,82379756.000,0.823771199,641994439437343755,663396,663396,641994439437343755
4,8,hash,first,4,1,32,20834,150,100000000,100003200,12363,82482638,82499419,524.406,386.344,0.824799986,82483162.406,0.824805230,641994439437343755,663396,663396,641994439437343755
4,16,bndmq,first,0,1,16,41668,150,100000000,100003200,245388,199635433,199915876,17527.688,15336.750,1.996290449,199652960.688,1.996465720,16049494105963295624,666658,666658,16049494105963295624
4,16,bndmq,first,1,1,16,41668,150,100000000,100003200,144900,212883085,213084711,12601.625,9056.250,2.128762730,212895686.625,2.128888742,16049494105963295624,666658,666658,16049494105963295624
4,16,bndmq,first,2,1,16,41668,150,100000000,100003200,102191,243245361,243373420,8003.688,6386.938,2.432375774,243253364.688,2.432455808,16049494105963295624,666658,666658,16049494105963295624
4,16,bndmq,first,3,1,16,41668,150,100000000,100003200,90138,179663897,179788069,7760.750,5633.625,1.796581479,179671657.750,1.796659084,16049494105963295624,666658,666658,16049494105963295624
4,16,bndmq,first,4,1,16,41668,150,100000000,100003200,89477,173871289,173991193,7494.000,5592.312,1.738657253,173878783.000,1.738732191,16049494105963295624,666658,666658,16049494105963295624
4,16,hash,first,0,1,16,41668,150,100000000,100003200,20970,54210033,54235131,1568.625,1310.625,0.542082983,54211601.625,0.542098669,16049494105963295624,666658,666658,16049494105963295624
4,16,hash,first,1,1,16,41668,150,100000000,100003200,15439,51414388,51434025,1227.312,964.938,0.514127428,51415615.312,0.514139701,16049494105963295624,666658,666658,16049494105963295624
4,16,hash,first,2,1,16,41668,150,100000000,100003200,10379,54246423,54261051,914.250,648.688,0.542446872,54247337.250,0.542456014,16049494105963295624,666658,666658,16049494105963295624
4,16,hash,first,3,1,16,41668,150,100000000,100003200,19636,55915312,55941300,1624.250,1227.250,0.559135228,55916936.250,0.559151470,16049494105963295624,666658,666658,16049494105963295624
4,16,hash,first,4,1,16,41668,150,100000000,100003200,16981,83303660,83326341,1417.562,1061.312,0.833009944,83305077.562,0.833024119,16049494105963295624,666658,666658,16049494105963295624
4,16,aho_corasick,first,0,1,16,41668,150,100000000,100003200,504581,38508080,39027809,32483.062,31536.312,0.385068478,38540563.062,0.385393298,16049494105963295624,666658,666658,16049494105963295624
4,16,aho_corasick,first,1,1,16,41668,150,100000000,100003200,404985,38386354,38808391,26377.312,25311.562,0.383851257,38412731.312,0.384115021,16049494105963295624,666658,666658,16049494105963295624
4,16,aho_corasick,first,2,1,16,41668,150,100000000,100003200,486806,39115480,39615252,31235.750,30425.375,0.391142283,39146715.750,0.391454631,16049494105963295624,666658,666658,16049494105963295624
4,16,aho_corasick,first,3,1,16,41668,150,100000000,100003200,400396,38533757,38951054,26081.062,25024.750,0.385325240,38559838.062,0.385586042,16049494105963295624,666658,666658,16049494105963295624
