k,patterns,algorithm,mode,status,wall_ms,detail
16,128,hash,all,ok,329,""
16,128,aho_corasick,all,ok,365,""
16,128,bndmq,all,ok,363,""
16,256,bndmq,all,ok,698,""
16,256,hash,all,ok,367,""
16,256,aho_corasick,all,ok,329,""
16,1000,hash,all,ok,333,""
16,1000,bndmq,all,ok,1429,""
16,1000,aho_corasick,all,ok,370,""
16,10000,hash,all,ok,329,""
16,10000,bndmq,all,ok,14159,""
16,10000,aho_corasick,all,ok,652,""
16,100000,hash,all,ok,438,""
16,100000,aho_corasick,all,ok,6792,""
16,100000,bndmq,all,timed_out,60022,"hard timeout after 60 seconds"
16,1000000,aho_corasick,all,timed_out,13333,"one matcher-build plus corpus-search iteration took 6649.377 ms"
16,1000000,hash,all,ok,439,""
16,1000000,bndmq,all,pruned,0,"a smaller pattern count timed out"
20,1,hash,first,ok,980,""
20,1,bndmq,first,ok,402,""
20,1,aho_corasick,first,ok,604,""
20,2,aho_corasick,first,ok,2447,""
20,2,hash,first,ok,1025,""
20,2,bndmq,first,ok,398,""
20,4,hash,first,ok,1138,""
20,4,bndmq,first,ok,601,""
20,4,aho_corasick,first,ok,800,""
20,8,aho_corasick,first,ok,421,""
20,8,hash,first,ok,593,""
20,8,bndmq,first,ok,537,""
20,16,bndmq,first,ok,487,""
20,16,aho_corasick,first,ok,406,""
20,16,hash,first,ok,590,""
20,32,aho_corasick,first,ok,413,""
20,32,bndmq,first,ok,464,""
20,32,hash,first,ok,472,""
20,64,bndmq,first,ok,430,""
20,64,hash,first,ok,363,""
20,64,aho_corasick,first,ok,366,""
20,128,aho_corasick,first,ok,366,""
20,128,hash,first,ok,331,""
20,128,bndmq,first,ok,448,""
20,256,hash,first,ok,329,""
20,256,aho_corasick,first,ok,342,""
20,256,bndmq,first,ok,421,""
20,1000,hash,first,ok,338,""
20,1000,bndmq,first,ok,898,""
20,1000,aho_corasick,first,ok,350,""
20,10000,hash,first,ok,331,""
20,10000,aho_corasick,first,ok,855,""
20,10000,bndmq,first,ok,8756,""
20,100000,hash,first,ok,368,""
20,100000,bndmq,first,timed_out,34898,"one matcher-build plus corpus-search iteration took 17398.285 ms"
20,100000,aho_corasick,first,ok,10216,""
20,1000000,bndmq,first,pruned,0,"a smaller pattern count timed out"
20,1000000,aho_corasick,first,timed_out,21662,"one matcher-build plus corpus-search iteration took 10723.960 ms"
20,1000000,hash,first,ok,529,""
20,1,bndmq,all,ok,406,""
20,1,aho_corasick,all,ok,493,""
20,1,hash,all,ok,1238,""
20,2,aho_corasick,all,ok,3218,""
20,2,hash,all,ok,1335,""
20,2,bndmq,all,ok,449,""
20,4,bndmq,all,ok,398,""
20,4,aho_corasick,all,ok,952,""
20,4,hash,all,ok,1440,""
20,8,hash,all,ok,742,""
20,8,aho_corasick,all,ok,506,""
20,8,bndmq,all,ok,644,""
20,16,bndmq,all,ok,600,""
20,16,hash,all,ok,407,""
20,16,aho_corasick,all,ok,497,""
20,32,aho_corasick,all,ok,367,""
20,32,hash,all,ok,417,""
20,32,bndmq,all,ok,554,""
20,64,aho_corasick,all,ok,370,""
20,64,bndmq,all,ok,550,""
20,64,hash,all,ok,366,""
20,128,hash,all,ok,362,""
20,128,aho_corasick,all,ok,341,""
20,128,bndmq,all,ok,537,""
20,256,aho_corasick,all,ok,365,""
20,256,bndmq,all,ok,531,""
20,256,hash,all,ok,345,""
20,1000,hash,all,ok,339,""
20,1000,bndmq,all,ok,1152,""
20,1000,aho_corasick,all,ok,374,""
20,10000,bndmq,all,ok,11508,""
20,10000,hash,all,ok,339,""
20,10000,aho_corasick,all,ok,877,""
20,100000,aho_corasick,all,ok,10460,""
20,100000,hash,all,ok,342,""
20,100000,bndmq,all,timed_out,47623,"one matcher-build plus corpus-search iteration took 23729.670 ms"
20,1000000,bndmq,all,pruned,0,"a smaller pattern count timed out"
20,1000000,hash,all,ok,510,""
20,1000000,aho_corasick,all,timed_out,21556,"one matcher-build plus corpus-search iteration took 10586.610 ms"
24,1,hash,first,ok,971,""
24,1,bndmq,first,ok,394,""
24,1,aho_corasick,first,ok,563,""
24,2,aho_corasick,first,ok,2407,""
24,2,hash,first,ok,1041,""
24,2,bndmq,first,ok,501,""
24,4,aho_corasick,first,ok,842,""
24,4,hash,first,ok,1133,""
24,4,bndmq,first,ok,524,""
24,8,bndmq,first,ok,466,""
24,8,aho_corasick,first,ok,431,""
24,8,hash,first,ok,568,""
24,16,bndmq,first,ok,406,""
24,16,hash,first,ok,601,""
24,16,aho_corasick,first,ok,438,""
24,32,aho_corasick,first,ok,429,""
24,32,bndmq,first,ok,384,""
24,32,hash,first,ok,400,""
24,64,bndmq,first,ok,365,""
24,64,aho_corasick,first,ok,331,""
24,64,hash,first,ok,401,""
24,128,hash,first,ok,330,""
24,128,aho_corasick,first,ok,347,""
24,128,bndmq,first,ok,374,""
24,256,aho_corasick,first,ok,346,""
24,256,bndmq,first,ok,356,""
24,256,hash,first,ok,325,""
24,1000,bndmq,first,ok,742,""
24,1000,aho_corasick,first,ok,429,""
24,1000,hash,first,ok,333,""
24,10000,hash,first,ok,339,""
24,10000,aho_corasick,first,ok,1066,""
24,10000,bndmq,first,ok,7394,""
24,100000,aho_corasick,first,ok,14033,""
24,100000,bndmq,first,timed_out,33014,"one matcher-build plus corpus-search iteration took 16412.646 ms"
24,100000,hash,first,ok,389,""
24,1000000,bndmq,first,pruned,0,"a smaller pattern count timed out"
24,1000000,aho_corasick,first,timed_out,29723,"one matcher-build plus corpus-search iteration took 14608.265 ms"
24,1000000,hash,first,ok,559,""
24,1,bndmq,all,ok,401,""
24,1,aho_corasick,all,ok,497,""
24,1,hash,all,ok,1231,""
24,2,aho_corasick,all,ok,3134,""
24,2,bndmq,all,ok,394,""
24,2,hash,all,ok,1303,""
24,4,bndmq,all,ok,626,""
24,4,aho_corasick,all,ok,983,""
24,4,hash,all,ok,1443,""
24,8,aho_corasick,all,ok,483,""
24,8,hash,all,ok,733,""
24,8,bndmq,all,ok,559,""
24,16,hash,all,ok,436,""
24,16,bndmq,all,ok,529,""
24,16,aho_corasick,all,ok,478,""
24,32,hash,all,ok,368,""
24,32,bndmq,all,ok,464,""
24,32,aho_corasick,all,ok,403,""
24,64,hash,all,ok,426,""
24,64,bndmq,all,ok,466,""
24,64,aho_corasick,all,ok,363,""
24,128,hash,all,ok,364,""
24,128,bndmq,all,ok,436,""
24,128,aho_corasick,all,ok,343,""
24,256,aho_corasick,all,ok,331,""
24,256,bndmq,all,ok,459,""
24,256,hash,all,ok,305,""
24,1000,hash,all,ok,329,""
24,1000,aho_corasick,all,ok,433,""
24,1000,bndmq,all,ok,943,""
24,10000,bndmq,all,ok,9499,""
24,10000,aho_corasick,all,ok,1075,""
24,10000,hash,all,ok,307,""
24,100000,bndmq,all,timed_out,45196,"one matcher-build plus corpus-search iteration took 22419.457 ms"
24,100000,hash,all,ok,368,""
24,100000,aho_corasick,all,ok,14051,""
24,1000000,aho_corasick,all,timed_out,29856,"one matcher-build plus corpus-search iteration took 14605.807 ms"
24,1000000,bndmq,all,pruned,0,"a smaller pattern count timed out"
24,1000000,hash,all,ok,579,""
31,1,bndmq,first,ok,399,""
31,1,hash,first,ok,980,""
31,1,aho_corasick,first,ok,546,""
31,2,hash,first,ok,1024,""
31,2,aho_corasick,first,ok,2395,""
31,2,bndmq,first,ok,501,""
31,4,aho_corasick,first,ok,846,""
31,4,hash,first,ok,1121,""
31,4,bndmq,first,ok,464,""
31,8,aho_corasick,first,ok,438,""
31,8,bndmq,first,ok,368,""
31,8,hash,first,ok,582,""
31,16,aho_corasick,first,ok,445,""
31,16,hash,first,ok,535,""
31,16,bndmq,first,ok,459,""
31,32,hash,first,ok,421,""
31,32,aho_corasick,first,ok,366,""
31,32,bndmq,first,ok,434,""
31,64,hash,first,ok,362,""
31,64,bndmq,first,ok,412,""
31,64,aho_corasick,first,ok,383,""
31,128,aho_corasick,first,ok,364,""
31,128,bndmq,first,ok,401,""
31,128,hash,first,ok,339,""
31,256,hash,first,ok,349,""
31,256,bndmq,first,ok,364,""
31,256,aho_corasick,first,ok,338,""
31,1000,bndmq,first,ok,607,""
31,1000,aho_corasick,first,ok,401,""
31,1000,hash,first,ok,363,""
31,10000,aho_corasick,first,ok,1441,""
31,10000,bndmq,first,ok,5752,""
31,10000,hash,first,ok,330,""
31,100000,hash,first,ok,439,""
31,100000,aho_corasick,first,ok,20551,""
31,100000,bndmq,first,timed_out,31745,"one matcher-build plus corpus-search iteration took 15798.600 ms"
31,1000000,bndmq,first,pruned,0,"a smaller pattern count timed out"
