k,patterns,algorithm,mode,status,wall_ms,detail
6,1,aho_corasick,all,ok,525,""
6,2,aho_corasick,all,ok,3077,""
6,2,hash,all,ok,1373,""
6,2,bndmq,all,ok,734,""
6,4,aho_corasick,all,ok,946,""
6,4,hash,all,ok,1527,""
6,4,bndmq,all,ok,1355,""
6,8,bndmq,all,ok,1300,""
6,8,aho_corasick,all,ok,496,""
6,8,hash,all,ok,798,""
6,16,aho_corasick,all,ok,488,""
6,16,bndmq,all,ok,1262,""
6,16,hash,all,ok,461,""
6,32,bndmq,all,ok,1256,""
6,32,aho_corasick,all,ok,354,""
6,32,hash,all,ok,466,""
6,64,hash,all,ok,376,""
6,64,aho_corasick,all,ok,382,""
6,64,bndmq,all,ok,1262,""
6,128,aho_corasick,all,ok,348,""
6,128,hash,all,ok,325,""
6,128,bndmq,all,ok,1239,""
6,256,hash,all,ok,318,""
6,256,bndmq,all,ok,1257,""
6,256,aho_corasick,all,ok,328,""
6,1000,aho_corasick,all,ok,378,""
6,1000,hash,all,ok,386,""
6,1000,bndmq,all,ok,4842,""
6,10000,aho_corasick,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,10000,bndmq,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,10000,hash,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,100000,aho_corasick,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,100000,bndmq,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,100000,hash,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,1000000,hash,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,1000000,bndmq,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,1000000,aho_corasick,all,invalid,0,"only 4096 distinct DNA patterns exist"
8,1,bndmq,first,ok,439,""
8,1,hash,first,ok,995,""
8,1,aho_corasick,first,ok,612,""
8,2,hash,first,ok,1075,""
8,2,bndmq,first,ok,407,""
8,2,aho_corasick,first,ok,2283,""
8,4,aho_corasick,first,ok,806,""
8,4,bndmq,first,ok,721,""
8,4,hash,first,ok,1151,""
8,8,bndmq,first,ok,697,""
8,8,aho_corasick,first,ok,399,""
8,8,hash,first,ok,599,""
8,16,bndmq,first,ok,654,""
8,16,hash,first,ok,574,""
8,16,aho_corasick,first,ok,375,""
8,32,aho_corasick,first,ok,379,""
8,32,bndmq,first,ok,637,""
8,32,hash,first,ok,461,""
8,64,aho_corasick,first,ok,322,""
8,64,bndmq,first,ok,609,""
8,64,hash,first,ok,405,""
8,128,aho_corasick,first,ok,342,""
8,128,bndmq,first,ok,556,""
8,128,hash,first,ok,345,""
8,256,hash,first,ok,319,""
8,256,bndmq,first,ok,496,""
8,256,aho_corasick,first,ok,351,""
8,1000,hash,first,ok,296,""
8,1000,aho_corasick,first,ok,342,""
8,1000,bndmq,first,ok,1116,""
8,10000,bndmq,first,ok,1458,""
8,10000,hash,first,ok,206,""
8,10000,aho_corasick,first,ok,436,""
8,100000,aho_corasick,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,100000,hash,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,100000,bndmq,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,bndmq,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,aho_corasick,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,hash,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,1,bndmq,all,ok,520,""
8,1,aho_corasick,all,ok,494,""
8,1,hash,all,ok,1254,""
