k,patterns,mode,algorithm,runs,median_fixed_ns_per_matcher,fixed_p2_5_ns_per_matcher,fixed_p97_5_ns_per_matcher,median_search_ns_per_base,search_p2_5_ns_per_base,search_p97_5_ns_per_base
6,4,all,aho_corasick,5,15696.484000000,14804.990300000,17426.225200000,2.111069883,2.056817992,2.172119017
6,4,all,bndmq,5,2656.047000000,2499.936200000,3073.915300000,3.162744709,3.079323352,3.179324467
6,4,all,hash,5,368.812000000,364.079800000,569.482900000,2.254524651,2.226410101,2.359365527
6,4,first,aho_corasick,5,15393.547000000,14923.922200000,20385.830800000,1.440979515,1.420132659,1.489315144
6,4,first,bndmq,5,2580.297000000,2356.745500000,3208.014100000,2.308476205,2.290675436,2.353551328
6,4,first,hash,5,380.406000000,348.596800000,499.823800000,1.539689990,1.510266289,1.574905964
6,8,all,aho_corasick,5,21702.375000000,21031.877900000,22720.277700000,2.157313796,2.108225634,2.208438119
6,8,all,bndmq,5,4309.594000000,4223.075000000,5586.477900000,6.209769177,6.043774926,6.341384713
6,8,all,hash,5,788.656000000,540.249800000,806.405800000,2.644519345,2.607824001,2.677305850
6,8,first,aho_corasick,5,22745.594000000,20547.059200000,27000.494000000,1.385414117,1.370086708,1.404518596
6,8,first,bndmq,5,4572.594000000,4376.352900000,5263.231000000,4.075650159,3.949755241,4.235702016
6,8,first,hash,5,604.562000000,547.540400000,816.959600000,1.719091969,1.661310756,1.758797553
6,16,all,aho_corasick,5,32528.812000000,31864.437500000,38831.137500000,2.163400701,2.112422157,2.191468673
6,16,all,bndmq,5,8151.500000000,7610.818300000,10591.356200000,12.045062618,11.907994516,12.087060697
6,16,all,hash,5,1403.875000000,859.325000000,1869.919200000,2.804732769,2.701367054,2.847692174
6,16,first,aho_corasick,5,31763.000000000,31674.012000000,41885.499600000,1.300214813,1.256396573,1.329730292
6,16,first,bndmq,5,8478.312000000,7416.893300000,15223.581300000,7.203765390,7.124898196,7.236602666
6,16,first,hash,5,1225.438000000,843.437500000,1770.393300000,1.516516851,1.502580861,1.589047738
6,32,all,aho_corasick,5,56251.250000000,52654.450000000,65095.712500000,2.207669929,2.192970405,2.304018950
6,32,all,hash,5,1775.750000000,1609.150000000,2571.012500000,2.818082985,2.803304341,2.887618844
6,32,first,aho_corasick,5,57109.125000000,52541.437500000,68643.975000000,1.161268290,1.078767862,1.212982446
6,32,first,bndmq,5,12211.500000000,11294.900000000,18979.575000000,11.495572965,11.315613323,11.669504392
6,32,first,hash,5,1603.000000000,1470.625000000,2211.875000000,1.305626645,1.281924257,1.325747446
6,64,all,aho_corasick,5,89915.000000000,86265.000000000,106197.775000000,2.265106449,2.208115617,2.293756104
6,64,all,hash,5,2585.000000000,2387.250000000,3547.925000000,2.974682473,2.960875593,3.027656577
6,64,first,aho_corasick,5,87691.250000000,86018.200000000,101519.475000000,0.875643185,0.828143231,0.882010901
6,64,first,bndmq,5,37465.000000000,36409.100000000,51403.925000000,16.216381929,15.953455780,16.776201813
6,64,first,hash,5,2332.000000000,2194.550000000,3563.225000000,1.031351949,1.020271635,1.051787752
6,128,all,aho_corasick,5,156587.500000000,143563.250000000,180978.150000000,2.216370457,2.192535235,2.219373736
6,128,all,hash,5,4112.500000000,3760.000000000,7501.800000000,3.528086064,3.471836905,3.570130746
6,128,first,aho_corasick,5,147555.500000000,143413.550000000,168160.000000000,0.610916318,0.605715143,0.639652050
6,128,first,bndmq,5,67266.000000000,65493.750000000,81861.100000000,18.849748851,18.764980804,19.219627610
6,128,first,hash,5,4223.000000000,3699.100000000,7418.750000000,0.692183136,0.667848730,0.723078341
6,256,all,aho_corasick,5,271126.000000000,251656.200000000,458990.300000000,3.079183492,3.023624214,3.146356016
