k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
4,2,bndmq,first,4,1,64,10418,150,100000000,100012800,49913,103520896,103595334,1163.094,779.891,1.035076470,103522059.094,1.035088100,7382909141788156224,561887,561887,7382909141788156224
4,4,hash,first,0,1,64,10418,150,100000000,100012800,30918,99323538,99360467,577.016,483.094,0.993108262,99324115.016,0.993114032,5419814996855450317,634058,634058,5419814996855450317
4,4,hash,first,1,1,64,10418,150,100000000,100012800,29636,101999707,102033310,525.047,463.062,1.019866527,102000232.047,1.019871777,5419814996855450317,634058,634058,5419814996855450317
4,4,hash,first,2,1,64,10418,150,100000000,100012800,15949,100530689,100550886,315.578,249.203,1.005178227,100531004.578,1.005181383,5419814996855450317,634058,634058,5419814996855450317
4,4,hash,first,3,1,64,10418,150,100000000,100012800,15679,102822084,102842622,320.906,244.984,1.028089245,102822404.906,1.028092453,5419814996855450317,634058,634058,5419814996855450317
4,4,hash,first,4,1,64,10418,150,100000000,100012800,19075,98338321,98362475,377.406,298.047,0.983257353,98338698.406,0.983261127,5419814996855450317,634058,634058,5419814996855450317
4,4,bndmq,first,0,1,64,10418,150,100000000,100012800,240118,137964827,138238768,4280.328,3751.844,1.379471698,137969107.328,1.379514495,5419814996855450317,634058,634058,5419814996855450317
4,4,bndmq,first,1,1,64,10418,150,100000000,100012800,119914,142391496,142539502,2312.594,1873.656,1.423732722,142393808.594,1.423755845,5419814996855450317,634058,634058,5419814996855450317
4,4,bndmq,first,2,1,64,10418,150,100000000,100012800,113622,139731893,139872737,2200.688,1775.344,1.397140096,139734093.688,1.397162100,5419814996855450317,634058,634058,5419814996855450317
4,4,bndmq,first,3,1,64,10418,150,100000000,100012800,113381,140391575,140533269,2213.969,1771.578,1.403736072,140393788.969,1.403758209,5419814996855450317,634058,634058,5419814996855450317
4,4,bndmq,first,4,1,64,10418,150,100000000,100012800,114263,140759301,140902347,2235.094,1785.359,1.407412861,140761536.094,1.407435209,5419814996855450317,634058,634058,5419814996855450317
4,4,aho_corasick,first,0,1,64,10418,150,100000000,100012800,938340,75578420,76546757,15130.266,14661.562,0.755687472,75593550.266,0.755838755,5419814996855450317,634058,634058,5419814996855450317
4,4,aho_corasick,first,1,1,64,10418,150,100000000,100012800,1038121,85352251,86415048,16606.203,16220.641,0.853413273,85368857.203,0.853579314,5419814996855450317,634058,634058,5419814996855450317
4,4,aho_corasick,first,2,1,64,10418,150,100000000,100012800,801786,82666623,83493556,12920.828,12527.906,0.826560430,82679543.828,0.826689622,5419814996855450317,634058,634058,5419814996855450317
4,4,aho_corasick,first,3,1,64,10418,150,100000000,100012800,804762,82214430,83048096,13026.031,12574.406,0.822039079,82227456.031,0.822169323,5419814996855450317,634058,634058,5419814996855450317
4,4,aho_corasick,first,4,1,64,10418,150,100000000,100012800,808398,78148732,78983690,13046.219,12631.219,0.781387302,78161778.219,0.781517748,5419814996855450317,634058,634058,5419814996855450317
4,8,bndmq,first,0,1,32,20834,150,100000000,100003200,135684,162959345,163131597,5382.875,4240.125,1.629541305,162964727.875,1.629595132,641994439437343755,663396,663396,641994439437343755
4,8,bndmq,first,1,1,32,20834,150,100000000,100003200,102371,161783745,161915190,4107.656,3199.094,1.617785681,161787852.656,1.617826756,641994439437343755,663396,663396,641994439437343755
4,8,bndmq,first,2,1,32,20834,150,100000000,100003200,106609,158838370,158974894,4266.375,3331.531,1.588332873,158842636.375,1.588375536,641994439437343755,663396,663396,641994439437343755
4,8,bndmq,first,3,1,32,20834,150,100000000,100003200,105076,161043594,161178305,4209.719,3283.625,1.610384408,161047803.719,1.610426504,641994439437343755,663396,663396,641994439437343755
