k,patterns,algorithm,mode,status,wall_ms,detail
6,1000000,hash,first,invalid,0,"only 4096 distinct DNA patterns exist"
6,1000000,aho_corasick,first,invalid,0,"only 4096 distinct DNA patterns exist"
6,1000000,bndmq,first,invalid,0,"only 4096 distinct DNA patterns exist"
6,1,hash,all,ok,1229,""
6,1,bndmq,all,ok,551,""
6,1,aho_corasick,all,ok,451,""
6,2,aho_corasick,all,ok,2758,""
6,2,hash,all,ok,1203,""
6,2,bndmq,all,ok,953,""
6,4,aho_corasick,all,ok,1203,""
6,4,hash,all,ok,1279,""
6,4,bndmq,all,ok,1705,""
6,8,bndmq,all,ok,3260,""
6,8,aho_corasick,all,ok,1229,""
6,8,hash,all,ok,1454,""
6,16,aho_corasick,all,ok,1229,""
6,16,bndmq,all,ok,6145,""
6,16,hash,all,ok,1530,""
6,32,bndmq,all,timed_out,2558,"one matcher-build plus corpus-search iteration took 2429.175 ms"
6,32,aho_corasick,all,ok,1254,""
6,32,hash,all,ok,1555,""
6,64,hash,all,ok,1630,""
6,64,aho_corasick,all,ok,1254,""
6,64,bndmq,all,pruned,0,"a smaller pattern count timed out"
6,128,aho_corasick,all,ok,1229,""
6,128,hash,all,ok,1906,""
6,128,bndmq,all,pruned,0,"a smaller pattern count timed out"
6,256,hash,all,ok,2408,""
6,256,bndmq,all,pruned,0,"a smaller pattern count timed out"
6,256,aho_corasick,all,ok,1680,""
6,1000,aho_corasick,all,ok,3084,""
6,1000,hash,all,ok,5492,""
6,1000,bndmq,all,pruned,0,"a smaller pattern count timed out"
6,10000,aho_corasick,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,10000,bndmq,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,10000,hash,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,100000,aho_corasick,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,100000,bndmq,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,100000,hash,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,1000000,hash,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,1000000,bndmq,all,invalid,0,"only 4096 distinct DNA patterns exist"
6,1000000,aho_corasick,all,invalid,0,"only 4096 distinct DNA patterns exist"
8,1,bndmq,first,ok,351,""
8,1,hash,first,ok,827,""
8,1,aho_corasick,first,ok,301,""
8,2,hash,first,ok,853,""
8,2,bndmq,first,ok,551,""
8,2,aho_corasick,first,ok,2081,""
8,4,aho_corasick,first,ok,928,""
8,4,bndmq,first,ok,902,""
8,4,hash,first,ok,928,""
8,8,bndmq,first,ok,1579,""
8,8,aho_corasick,first,ok,903,""
8,8,hash,first,ok,1028,""
8,16,bndmq,first,ok,3009,""
8,16,hash,first,ok,1053,""
8,16,aho_corasick,first,ok,928,""
8,32,aho_corasick,first,ok,928,""
8,32,bndmq,first,ok,5618,""
8,32,hash,first,ok,1028,""
8,64,aho_corasick,first,ok,953,""
8,64,bndmq,first,timed_out,2357,"one matcher-build plus corpus-search iteration took 2215.365 ms"
8,64,hash,first,ok,1128,""
8,128,aho_corasick,first,ok,928,""
8,128,bndmq,first,pruned,0,"a smaller pattern count timed out"
8,128,hash,first,ok,1003,""
8,256,hash,first,ok,903,""
8,256,bndmq,first,pruned,0,"a smaller pattern count timed out"
8,256,aho_corasick,first,ok,903,""
8,1000,hash,first,ok,652,""
8,1000,aho_corasick,first,ok,802,""
8,1000,bndmq,first,pruned,0,"a smaller pattern count timed out"
8,10000,bndmq,first,pruned,0,"a smaller pattern count timed out"
8,10000,hash,first,ok,376,""
8,10000,aho_corasick,first,ok,652,""
8,100000,aho_corasick,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,100000,hash,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,100000,bndmq,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,bndmq,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,aho_corasick,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,hash,first,invalid,0,"only 65536 distinct DNA patterns exist"
8,1,bndmq,all,ok,426,""
8,1,aho_corasick,all,ok,426,""
8,1,hash,all,ok,1128,""
8,2,hash,all,ok,1179,""
8,2,bndmq,all,ok,702,""
8,2,aho_corasick,all,ok,2834,""
8,4,bndmq,all,ok,1153,""
8,4,hash,all,ok,1254,""
8,4,aho_corasick,all,ok,1179,""
8,8,hash,all,ok,1430,""
8,8,aho_corasick,all,ok,1178,""
8,8,bndmq,all,ok,2157,""
8,16,aho_corasick,all,ok,1204,""
8,16,hash,all,ok,1455,""
8,16,bndmq,all,ok,4088,""
8,32,bndmq,all,ok,7975,""
8,32,hash,all,ok,1429,""
8,32,aho_corasick,all,ok,1204,""
8,64,hash,all,ok,1555,""
8,64,bndmq,all,timed_out,3360,"one matcher-build plus corpus-search iteration took 3225.118 ms"
8,64,aho_corasick,all,ok,1178,""
8,128,aho_corasick,all,ok,1254,""
8,128,bndmq,all,pruned,0,"a smaller pattern count timed out"
8,128,hash,all,ok,1479,""
8,256,aho_corasick,all,ok,1379,""
8,256,hash,all,ok,1480,""
8,256,bndmq,all,pruned,0,"a smaller pattern count timed out"
8,1000,hash,all,ok,1630,""
8,1000,aho_corasick,all,ok,1831,""
8,1000,bndmq,all,pruned,0,"a smaller pattern count timed out"
8,10000,aho_corasick,all,ok,7073,""
8,10000,bndmq,all,pruned,0,"a smaller pattern count timed out"
8,10000,hash,all,ok,4591,""
8,100000,bndmq,all,invalid,0,"only 65536 distinct DNA patterns exist"
8,100000,hash,all,invalid,0,"only 65536 distinct DNA patterns exist"
8,100000,aho_corasick,all,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,hash,all,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,aho_corasick,all,invalid,0,"only 65536 distinct DNA patterns exist"
8,1000000,bndmq,all,invalid,0,"only 65536 distinct DNA patterns exist"
10,1,bndmq,first,ok,326,""
10,1,aho_corasick,first,ok,301,""
10,1,hash,first,ok,852,""
10,2,hash,first,ok,853,""
10,2,bndmq,first,ok,476,""
10,2,aho_corasick,first,ok,2182,""
10,4,bndmq,first,ok,727,""
10,4,aho_corasick,first,ok,903,""
10,4,hash,first,ok,928,""
10,8,aho_corasick,first,ok,928,""
10,8,hash,first,ok,1053,""
10,8,bndmq,first,ok,1279,""
10,16,hash,first,ok,1028,""
10,16,bndmq,first,ok,2307,""
10,16,aho_corasick,first,ok,903,""
10,32,bndmq,first,ok,4363,""
10,32,hash,first,ok,1053,""
10,32,aho_corasick,first,ok,928,""
10,64,bndmq,first,ok,8627,""
10,64,hash,first,ok,1028,""
10,64,aho_corasick,first,ok,928,""
10,128,hash,first,ok,1204,""
10,128,bndmq,first,timed_out,3637,"one matcher-build plus corpus-search iteration took 3496.283 ms"
10,128,aho_corasick,first,ok,978,""
10,256,bndmq,first,pruned,0,"a smaller pattern count timed out"
10,256,hash,first,ok,1103,""
10,256,aho_corasick,first,ok,1029,""
10,1000,bndmq,first,pruned,0,"a smaller pattern count timed out"
10,1000,aho_corasick,first,ok,1405,""
10,1000,hash,first,ok,1028,""
10,10000,hash,first,ok,903,""
10,10000,bndmq,first,pruned,0,"a smaller pattern count timed out"
10,10000,aho_corasick,first,ok,2408,""
10,100000,hash,first,ok,602,""
10,100000,aho_corasick,first,ok,2483,""
10,100000,bndmq,first,pruned,0,"a smaller pattern count timed out"
10,1000000,aho_corasick,first,ok,7300,""
10,1000000,hash,first,ok,903,""
10,1000000,bndmq,first,pruned,0,"a smaller pattern count timed out"
10,1,hash,all,ok,1154,""
10,1,bndmq,all,ok,376,""
10,1,aho_corasick,all,ok,451,""
10,2,aho_corasick,all,ok,2984,""
10,2,bndmq,all,ok,576,""
10,2,hash,all,ok,1179,""
10,4,hash,all,ok,1254,""
10,4,aho_corasick,all,ok,1229,""
10,4,bndmq,all,ok,953,""
10,8,aho_corasick,all,ok,1228,""
10,8,hash,all,ok,1404,""
10,8,bndmq,all,ok,1655,""
10,16,aho_corasick,all,ok,1178,""
10,16,bndmq,all,ok,3110,""
10,16,hash,all,ok,1429,""
10,32,bndmq,all,ok,5993,""
10,32,hash,all,ok,1429,""
10,32,aho_corasick,all,ok,1204,""
10,64,bndmq,all,timed_out,2457,"one matcher-build plus corpus-search iteration took 2329.041 ms"
10,64,hash,all,ok,1404,""
10,64,aho_corasick,all,ok,1229,""
10,128,bndmq,all,pruned,0,"a smaller pattern count timed out"
10,128,aho_corasick,all,ok,1279,""
10,128,hash,all,ok,1505,""
10,256,bndmq,all,pruned,0,"a smaller pattern count timed out"
10,256,hash,all,ok,1430,""
10,256,aho_corasick,all,ok,1379,""
10,1000,aho_corasick,all,ok,1856,""
10,1000,hash,all,ok,1404,""
10,1000,bndmq,all,pruned,0,"a smaller pattern count timed out"
10,10000,hash,all,ok,1805,""
10,10000,bndmq,all,pruned,0,"a smaller pattern count timed out"
10,10000,aho_corasick,all,ok,4865,""
10,100000,hash,all,ok,5242,""
10,100000,bndmq,all,pruned,0,"a smaller pattern count timed out"
10,100000,aho_corasick,all,timed_out,3162,"one matcher-build plus corpus-search iteration took 2997.773 ms"
10,1000000,hash,all,timed_out,6148,"one matcher-build plus corpus-search iteration took 5891.160 ms"
10,1000000,aho_corasick,all,pruned,0,"a smaller pattern count timed out"
10,1000000,bndmq,all,pruned,0,"a smaller pattern count timed out"
12,1,aho_corasick,first,ok,326,""
12,1,hash,first,ok,853,""
12,1,bndmq,first,ok,301,""
12,2,hash,first,ok,903,""
12,2,bndmq,first,ok,401,""
12,2,aho_corasick,first,ok,2207,""
12,4,bndmq,first,ok,627,""
12,4,aho_corasick,first,ok,928,""
12,4,hash,first,ok,928,""
12,8,hash,first,ok,1028,""
12,8,aho_corasick,first,ok,928,""
12,8,bndmq,first,ok,1028,""
12,16,bndmq,first,ok,1881,""
12,16,aho_corasick,first,ok,903,""
12,16,hash,first,ok,1028,""
12,32,aho_corasick,first,ok,928,""
12,32,hash,first,ok,1028,""
12,32,bndmq,first,ok,3536,""
12,64,bndmq,first,ok,6821,""
12,64,aho_corasick,first,ok,953,""
12,64,hash,first,ok,1078,""
12,128,hash,first,ok,1078,""
12,128,bndmq,first,timed_out,2860,"one matcher-build plus corpus-search iteration took 2724.087 ms"
12,128,aho_corasick,first,ok,978,""
12,256,aho_corasick,first,ok,1078,""
12,256,hash,first,ok,1078,""
12,256,bndmq,first,pruned,0,"a smaller pattern count timed out"
12,1000,hash,first,ok,1053,""
12,1000,aho_corasick,first,ok,1706,""
12,1000,bndmq,first,pruned,0,"a smaller pattern count timed out"
12,10000,bndmq,first,pruned,0,"a smaller pattern count timed out"
12,10000,hash,first,ok,1280,""
12,10000,aho_corasick,first,ok,3637,""
12,100000,bndmq,first,pruned,0,"a smaller pattern count timed out"
12,100000,hash,first,ok,2007,""
12,100000,aho_corasick,first,ok,8456,""
12,1000000,aho_corasick,first,timed_out,6171,"one matcher-build plus corpus-search iteration took 5911.035 ms"
12,1000000,hash,first,ok,1806,""
12,1000000,bndmq,first,pruned,0,"a smaller pattern count timed out"
12,1,aho_corasick,all,ok,451,""
12,1,hash,all,ok,1179,""
12,1,bndmq,all,ok,351,""
12,2,hash,all,ok,1179,""
12,2,bndmq,all,ok,501,""
12,2,aho_corasick,all,ok,2984,""
12,4,bndmq,all,ok,777,""
12,4,aho_corasick,all,ok,1229,""
12,4,hash,all,ok,1254,""
12,8,bndmq,all,ok,1354,""
12,8,aho_corasick,all,ok,1204,""
12,8,hash,all,ok,1429,""
12,16,aho_corasick,all,ok,1153,""
12,16,hash,all,ok,1404,""
12,16,bndmq,all,ok,2458,""
12,32,hash,all,ok,1404,""
12,32,bndmq,all,ok,4615,""
12,32,aho_corasick,all,ok,1229,""
12,64,bndmq,all,ok,9005,""
12,64,aho_corasick,all,ok,1229,""
12,64,hash,all,ok,1379,""
12,128,hash,all,ok,1429,""
12,128,aho_corasick,all,ok,1279,""
12,128,bndmq,all,timed_out,3712,"one matcher-build plus corpus-search iteration took 3578.511 ms"
12,256,bndmq,all,pruned,0,"a smaller pattern count timed out"
12,256,hash,all,ok,1505,""
12,256,aho_corasick,all,ok,1405,""
12,1000,aho_corasick,all,ok,2032,""
12,1000,hash,all,ok,1430,""
12,1000,bndmq,all,pruned,0,"a smaller pattern count timed out"
12,10000,aho_corasick,all,ok,4841,""
12,10000,hash,all,ok,1680,""
12,10000,bndmq,all,pruned,0,"a smaller pattern count timed out"
12,100000,bndmq,all,pruned,0,"a smaller pattern count timed out"
12,100000,hash,all,ok,3211,""
12,100000,aho_corasick,all,timed_out,2609,"one matcher-build plus corpus-search iteration took 2443.732 ms"
