k,patterns,mode,best_algorithm,median_reference_ns_per_base,second_algorithm,margin_pct
10,427,first,aho_corasick,2.001126658,hash,128.9713
10,506,all,hash,2.581523547,aho_corasick,5.3194
10,506,first,hash,1.831045908,aho_corasick,12.7592
10,1000,all,hash,2.540278969,aho_corasick,37.1588
10,1000,first,hash,1.783112374,aho_corasick,42.2342
10,10000,all,hash,3.337928884,aho_corasick,182.5793
10,10000,first,hash,1.508977362,aho_corasick,198.3894
10,100000,all,hash,10.058145004,,
10,100000,first,hash,0.849431711,aho_corasick,446.5748
10,1000000,first,hash,1.308107434,aho_corasick,965.2185
11,1,first,bndmq,0.317333439,aho_corasick,5.3413
11,4,first,bndmq,1.059580868,aho_corasick,44.7051
11,6,all,bndmq,2.032868317,aho_corasick,0.8158
11,16,first,aho_corasick,1.589151495,hash,13.1816
11,64,first,aho_corasick,1.575676517,hash,15.7091
11,256,first,hash,1.882861074,aho_corasick,0.3928
12,1,all,bndmq,0.391092899,aho_corasick,58.7893
12,1,first,bndmq,0.314665128,aho_corasick,12.8077
12,2,all,bndmq,0.687628563,hash,198.2570
12,2,first,bndmq,0.525947395,hash,184.3389
12,4,all,bndmq,1.249433602,aho_corasick,72.8544
12,4,first,bndmq,0.957504956,aho_corasick,62.5921
12,6,all,bndmq,1.834910252,aho_corasick,17.5169
12,6,first,bndmq,1.460616827,aho_corasick,5.5838
12,7,all,bndmq,2.131250468,aho_corasick,0.4222
12,7,first,aho_corasick,1.540778978,bndmq,4.2355
12,8,all,aho_corasick,2.090224669,bndmq,16.4170
12,8,first,aho_corasick,1.570888997,hash,13.1053
12,16,all,aho_corasick,2.037955725,hash,24.4364
12,16,first,aho_corasick,1.524642276,hash,17.0111
12,32,all,aho_corasick,2.142693302,hash,18.9233
12,32,first,aho_corasick,1.568220457,hash,13.2109
12,64,all,aho_corasick,2.170908595,hash,13.0555
12,64,first,aho_corasick,1.616239138,hash,17.2075
12,128,all,aho_corasick,2.298565598,hash,13.2683
12,128,first,aho_corasick,1.681768411,hash,11.6658
12,181,first,aho_corasick,1.819569711,hash,33.1467
12,215,first,aho_corasick,1.828765467,hash,167.8971
12,235,first,hash,1.835483574,aho_corasick,1.0564
12,256,all,aho_corasick,2.531612917,hash,9.0366
12,256,first,hash,1.897636145,aho_corasick,0.5752
12,360,all,aho_corasick,2.627235386,hash,36.4463
12,427,all,aho_corasick,2.668267883,hash,209.3868
12,506,all,hash,2.533378013,aho_corasick,14.3491
12,1000,all,hash,2.533240844,aho_corasick,47.3743
12,1000,first,hash,1.858702693,aho_corasick,71.4125
12,10000,all,hash,3.097462305,aho_corasick,200.9535
12,10000,first,hash,2.234127312,aho_corasick,210.5126
12,100000,all,hash,6.061109678,,
12,100000,first,hash,3.614037812,aho_corasick,331.6594
12,1000000,all,hash,15.848476863,,
12,1000000,first,hash,3.107514055,,
14,8,all,aho_corasick,2.141545031,bndmq,5.8587
14,8,first,aho_corasick,1.520126460,bndmq,10.0248
14,256,all,aho_corasick,2.447181416,hash,3.9607
15,8,all,aho_corasick,2.110312726,bndmq,0.3994
15,8,first,aho_corasick,1.548935237,bndmq,2.0933
15,45,all,aho_corasick,2.190410125,hash,38.9104
15,256,all,hash,2.580658179,aho_corasick,0.9022
16,1,all,bndmq,0.322467872,aho_corasick,90.2195
16,1,first,bndmq,0.268221241,aho_corasick,20.8313
16,2,all,bndmq,0.579859788,hash,256.9246
16,2,first,bndmq,0.444139498,hash,224.8841
16,4,all,bndmq,1.038755359,hash,107.2786
16,4,first,bndmq,0.808799531,aho_corasick,93.3058
16,8,all,bndmq,1.924894052,aho_corasick,9.7267
16,8,first,bndmq,1.467289215,aho_corasick,9.1501
16,9,all,bndmq,2.137007595,aho_corasick,0.4594
16,9,first,aho_corasick,1.540644655,bndmq,9.6035
16,10,all,aho_corasick,2.154025916,bndmq,9.5422
16,11,all,aho_corasick,2.165890775,bndmq,19.3758
16,11,first,aho_corasick,1.622731662,hash,20.3288
16,16,all,aho_corasick,2.073478828,hash,19.7900
16,16,first,aho_corasick,1.632324695,hash,12.7943
16,32,all,aho_corasick,2.151343192,hash,14.9533
16,32,first,aho_corasick,1.569658230,hash,13.8013
16,64,all,aho_corasick,2.252933784,hash,8.6038
16,64,first,aho_corasick,1.633091585,hash,10.2312
16,128,all,aho_corasick,2.323582378,hash,6.2080
16,128,first,aho_corasick,1.746297122,hash,3.0339
16,181,all,aho_corasick,2.381307177,hash,33.3726
16,181,first,aho_corasick,1.828089574,hash,24.9735
16,215,all,aho_corasick,2.453562308,hash,230.3287
16,215,first,aho_corasick,2.044346946,hash,187.2350
16,235,all,hash,2.434893330,aho_corasick,0.7260
16,235,first,hash,1.769589776,aho_corasick,8.1710
16,256,all,hash,2.538704663,aho_corasick,1.2441
16,256,first,hash,1.787886464,aho_corasick,12.2872
16,1000,all,hash,2.443822292,aho_corasick,70.6818
16,1000,first,hash,1.748042414,aho_corasick,85.3237
16,10000,all,hash,3.109309631,aho_corasick,208.8795
16,10000,first,hash,2.202685895,aho_corasick,230.7006
16,100000,all,hash,5.787890944,,
16,100000,first,hash,4.330062830,,
16,1000000,all,hash,7.775316399,,
16,1000000,first,hash,6.650341349,,
18,9,first,bndmq,1.407008528,aho_corasick,10.7253
20,1,all,bndmq,0.278690365,aho_corasick,116.0046
20,1,first,bndmq,0.245327113,aho_corasick,27.9796
20,2,all,bndmq,0.460258874,hash,333.5822
20,2,first,bndmq,0.371425707,hash,274.2624
20,4,all,bndmq,0.810308186,hash,160.4338
20,4,first,bndmq,0.649883420,hash,136.0050
20,8,all,bndmq,1.590197627,aho_corasick,34.5928
20,8,first,bndmq,1.197857578,aho_corasick,30.4742
20,9,all,bndmq,1.716367723,aho_corasick,23.2250
20,9,first,bndmq,1.322910352,aho_corasick,23.1321
20,10,all,bndmq,1.902073661,aho_corasick,11.4099
20,10,first,bndmq,1.409853996,aho_corasick,11.3649
20,11,all,aho_corasick,2.099669693,bndmq,0.1643
20,11,first,aho_corasick,1.577020120,bndmq,2.5684
20,16,all,aho_corasick,2.158233824,hash,10.4849
20,16,first,aho_corasick,1.564887572,hash,14.8276
20,32,all,aho_corasick,2.084139529,hash,15.0724
20,32,first,aho_corasick,1.662209570,hash,8.9694
20,64,all,aho_corasick,2.215625327,hash,10.6684
20,64,first,aho_corasick,1.719908591,hash,8.0836
20,128,all,aho_corasick,2.275326539,hash,13.6686
20,128,first,aho_corasick,1.763378278,hash,8.3298
20,181,all,aho_corasick,2.418884427,hash,49.1703
20,181,first,aho_corasick,1.838452038,hash,40.4063
20,215,all,aho_corasick,2.525067735,hash,163.1125
20,215,first,aho_corasick,1.935369024,hash,156.2742
20,235,all,hash,2.379887000,aho_corasick,7.2766
20,235,first,hash,1.747320185,aho_corasick,14.2673
20,256,all,hash,2.403113294,aho_corasick,8.7292
20,256,first,hash,1.872112076,aho_corasick,12.0573
20,1000,all,hash,2.537215906,aho_corasick,71.6552
20,1000,first,hash,1.892343475,aho_corasick,53.1039
20,10000,all,hash,2.964247132,aho_corasick,257.9881
20,10000,first,hash,2.241741197,aho_corasick,262.1883
20,100000,all,hash,5.722632625,,
20,100000,first,hash,4.766024758,,
20,1000000,all,hash,7.514012652,,
20,1000000,first,hash,6.203919572,,
22,128,all,aho_corasick,2.311284837,hash,7.6221
22,128,first,aho_corasick,1.789360746,hash,1.6748
23,128,first,hash,1.790869033,aho_corasick,0.2256
24,1,all,bndmq,0.266448739,aho_corasick,122.3174
24,1,first,bndmq,0.244302686,aho_corasick,19.9730
24,2,all,bndmq,0.477327746,hash,327.6772
24,2,first,bndmq,0.358372658,hash,283.8846
24,4,all,bndmq,0.709372764,aho_corasick,198.4500
24,4,first,bndmq,0.569527749,hash,162.4055
24,8,all,bndmq,1.273344199,aho_corasick,68.7144
24,8,first,bndmq,0.964418646,aho_corasick,63.9281
24,11,all,bndmq,1.698392551,aho_corasick,26.9390
24,11,first,bndmq,1.278003555,aho_corasick,25.0533
24,13,all,bndmq,1.982670535,aho_corasick,6.2712
24,13,first,bndmq,1.493307056,aho_corasick,10.6342
24,14,all,aho_corasick,2.117804048,bndmq,2.1129
24,14,first,bndmq,1.620240255,aho_corasick,2.8559
24,16,all,aho_corasick,2.136210487,bndmq,12.6734
24,16,first,aho_corasick,1.642829861,hash,4.1247
24,32,all,aho_corasick,2.215319516,hash,6.0983
24,32,first,aho_corasick,1.665612781,hash,2.2589
24,64,all,aho_corasick,2.271135013,hash,11.0534
24,64,first,aho_corasick,1.753061973,hash,5.2865
24,91,all,aho_corasick,2.265042096,hash,66.0725
24,91,first,aho_corasick,1.823649684,hash,48.9004
24,108,first,aho_corasick,1.791004922,hash,126.3469
24,118,first,aho_corasick,1.814472091,hash,71.2471
24,128,all,aho_corasick,2.379684026,hash,0.6041
24,128,first,hash,1.771250472,aho_corasick,1.7162
24,181,all,aho_corasick,2.494262506,hash,36.1864
24,215,all,aho_corasick,2.601624892,hash,165.3399
24,235,all,hash,2.593270673,aho_corasick,2.6933
24,256,all,hash,2.489332401,aho_corasick,6.0383
24,256,first,hash,1.840308309,aho_corasick,27.2764
24,1000,all,hash,2.685686169,aho_corasick,57.5869
24,1000,first,hash,1.943111394,aho_corasick,82.7346
24,10000,all,hash,2.794429611,aho_corasick,262.2135
24,10000,first,hash,2.145012410,aho_corasick,295.8072
24,100000,all,hash,5.520528879,,
24,100000,first,hash,4.233310513,,
