k,patterns,mode,region,algorithm,min_bases_inclusive,max_bases_exclusive
10,64,all,1,aho_corasick,482082.271637,
10,64,first,0,hash,0.000000,617058.625053
10,64,first,1,aho_corasick,617058.625053,
10,128,all,0,hash,0.000000,854652.617864
10,128,all,1,aho_corasick,854652.617864,
10,128,first,0,hash,0.000000,1000064.998266
10,128,first,1,aho_corasick,1000064.998266,
10,256,all,0,hash,0.000000,4946944.191110
10,256,all,1,aho_corasick,4946944.191110,
10,256,first,0,hash,0.000000,4883168.955390
10,256,first,1,aho_corasick,4883168.955390,
10,1000,all,0,hash,0.000000,
10,1000,first,0,hash,0.000000,
10,10000,all,0,hash,0.000000,
10,10000,first,0,hash,0.000000,
10,100000,all,0,hash,0.000000,
10,100000,first,0,hash,0.000000,
10,1000000,first,0,hash,0.000000,
12,1,all,0,hash,0.000000,203.932412
12,1,all,1,bndmq,203.932412,
12,1,first,0,hash,0.000000,399.651966
12,1,first,1,bndmq,399.651966,
12,2,all,0,hash,0.000000,717.108077
12,2,all,1,bndmq,717.108077,
12,2,first,0,hash,0.000000,1082.928340
12,2,first,1,bndmq,1082.928340,
12,4,all,0,hash,0.000000,2120.261373
12,4,all,1,bndmq,2120.261373,
12,4,first,0,hash,0.000000,3042.742549
12,4,first,1,bndmq,3042.742549,
12,8,all,0,hash,0.000000,29823.288529
12,8,all,1,bndmq,29823.288529,94505.894458
12,8,all,2,aho_corasick,94505.894458,
12,8,first,0,hash,0.000000,148558.447204
12,8,first,1,aho_corasick,148558.447204,
12,16,all,0,hash,0.000000,105837.547945
12,16,all,1,aho_corasick,105837.547945,
12,16,first,0,hash,0.000000,198266.890120
12,16,first,1,aho_corasick,198266.890120,
12,32,all,0,hash,0.000000,250582.613290
12,32,all,1,aho_corasick,250582.613290,
12,32,first,0,hash,0.000000,489410.692406
12,32,first,1,aho_corasick,489410.692406,
12,64,all,0,hash,0.000000,693468.001778
12,64,all,1,aho_corasick,693468.001778,
12,64,first,0,hash,0.000000,791619.580004
12,64,first,1,aho_corasick,791619.580004,
12,128,all,0,hash,0.000000,1101236.245481
12,128,all,1,aho_corasick,1101236.245481,
12,128,first,0,hash,0.000000,1743704.974360
12,128,first,1,aho_corasick,1743704.974360,
12,256,all,0,hash,0.000000,2818923.837612
12,256,all,1,aho_corasick,2818923.837612,
12,256,first,0,hash,0.000000,
12,1000,all,0,hash,0.000000,
12,1000,first,0,hash,0.000000,
12,10000,all,0,hash,0.000000,
12,10000,first,0,hash,0.000000,
12,100000,all,0,hash,0.000000,
12,100000,first,0,hash,0.000000,
12,1000000,all,0,hash,0.000000,
12,1000000,first,0,hash,0.000000,
16,1,all,0,hash,0.000000,281.562582
16,1,all,1,bndmq,281.562582,
16,1,first,0,hash,0.000000,387.331523
16,1,first,1,bndmq,387.331523,
16,2,all,0,hash,0.000000,642.212157
16,2,all,1,bndmq,642.212157,
16,2,first,0,hash,0.000000,1032.837475
16,2,first,1,bndmq,1032.837475,
16,4,all,0,hash,0.000000,1736.115640
16,4,all,1,bndmq,1736.115640,
16,4,first,0,hash,0.000000,2536.114426
16,4,first,1,bndmq,2536.114426,
16,8,all,0,hash,0.000000,6839.435608
16,8,all,1,bndmq,6839.435608,
16,8,first,0,hash,0.000000,12527.195290
16,8,first,1,bndmq,12527.195290,
16,16,all,0,hash,0.000000,156227.695458
16,16,all,1,aho_corasick,156227.695458,
16,16,first,0,hash,0.000000,326760.222606
16,16,first,1,aho_corasick,326760.222606,
16,32,all,0,hash,0.000000,396048.234288
16,32,all,1,aho_corasick,396048.234288,
16,32,first,0,hash,0.000000,605114.774138
16,32,first,1,aho_corasick,605114.774138,
16,64,all,0,hash,0.000000,1197713.036299
16,64,all,1,aho_corasick,1197713.036299,
16,64,first,0,hash,0.000000,1643241.033086
16,64,first,1,aho_corasick,1643241.033086,
16,128,all,0,hash,0.000000,3072958.513389
